POI: 			Aidan_Turner 
Youtube ID: 	RREb7K-SoSQ 
Video length: 	642.7 sec 
Set (V): 		dev 
 
Aidan_Turner/RREb7K-SoSQ_0000001 05.7 10.7 
Aidan_Turner/RREb7K-SoSQ_0000002 13.7 21.3 
Aidan_Turner/RREb7K-SoSQ_0000003 52.2 63.0 
Aidan_Turner/RREb7K-SoSQ_0000004 64.9 76.8 
Aidan_Turner/RREb7K-SoSQ_0000005 88.5 94.2 
Aidan_Turner/RREb7K-SoSQ_0000006 97.3 101.7 
Aidan_Turner/RREb7K-SoSQ_0000007 136.5 147.4 
Aidan_Turner/RREb7K-SoSQ_0000008 151.9 186.1 
Aidan_Turner/RREb7K-SoSQ_0000009 189.5 197.9 
Aidan_Turner/RREb7K-SoSQ_0000010 206.0 269.5 
Aidan_Turner/RREb7K-SoSQ_0000011 271.3 289.6 
Aidan_Turner/RREb7K-SoSQ_0000012 310.3 318.8 
Aidan_Turner/RREb7K-SoSQ_0000013 320.8 328.7 
Aidan_Turner/RREb7K-SoSQ_0000014 335.9 346.5 
Aidan_Turner/RREb7K-SoSQ_0000015 346.6 383.2 
Aidan_Turner/RREb7K-SoSQ_0000016 384.1 389.8 
Aidan_Turner/RREb7K-SoSQ_0000017 404.5 409.7 
Aidan_Turner/RREb7K-SoSQ_0000018 411.0 442.9 
Aidan_Turner/RREb7K-SoSQ_0000019 448.3 452.4 
Aidan_Turner/RREb7K-SoSQ_0000020 463.1 475.0 
Aidan_Turner/RREb7K-SoSQ_0000021 475.5 496.9 
Aidan_Turner/RREb7K-SoSQ_0000022 496.2 502.0 
Aidan_Turner/RREb7K-SoSQ_0000023 509.5 521.8 
Aidan_Turner/RREb7K-SoSQ_0000024 526.9 532.6 
Aidan_Turner/RREb7K-SoSQ_0000025 545.3 549.2 
Aidan_Turner/RREb7K-SoSQ_0000026 574.2 579.8 
Aidan_Turner/RREb7K-SoSQ_0000027 581.7 610.4 
Aidan_Turner/RREb7K-SoSQ_0000028 610.9 619.5 
