POI: 			Aidan_Turner 
Youtube ID: 	dOnuu_9-nyI 
Video length: 	1240.9 sec 
Set (V): 		dev 
 
Aidan_Turner/dOnuu_9-nyI_0000001 99.7 106.2 
Aidan_Turner/dOnuu_9-nyI_0000002 110.0 116.3 
Aidan_Turner/dOnuu_9-nyI_0000003 122.3 135.2 
Aidan_Turner/dOnuu_9-nyI_0000004 137.1 149.0 
Aidan_Turner/dOnuu_9-nyI_0000005 192.1 201.8 
Aidan_Turner/dOnuu_9-nyI_0000006 205.0 211.5 
Aidan_Turner/dOnuu_9-nyI_0000007 211.8 221.4 
Aidan_Turner/dOnuu_9-nyI_0000008 226.9 231.4 
Aidan_Turner/dOnuu_9-nyI_0000009 233.6 239.6 
Aidan_Turner/dOnuu_9-nyI_0000010 248.4 258.1 
Aidan_Turner/dOnuu_9-nyI_0000011 268.0 274.1 
Aidan_Turner/dOnuu_9-nyI_0000012 319.2 323.5 
Aidan_Turner/dOnuu_9-nyI_0000013 335.5 340.3 
Aidan_Turner/dOnuu_9-nyI_0000014 413.1 429.7 
Aidan_Turner/dOnuu_9-nyI_0000015 429.8 461.8 
Aidan_Turner/dOnuu_9-nyI_0000016 484.4 490.4 
Aidan_Turner/dOnuu_9-nyI_0000017 490.7 495.9 
Aidan_Turner/dOnuu_9-nyI_0000018 496.5 508.5 
Aidan_Turner/dOnuu_9-nyI_0000019 508.6 513.2 
Aidan_Turner/dOnuu_9-nyI_0000020 516.7 522.1 
Aidan_Turner/dOnuu_9-nyI_0000021 530.7 535.7 
Aidan_Turner/dOnuu_9-nyI_0000022 605.8 633.5 
Aidan_Turner/dOnuu_9-nyI_0000023 634.1 641.6 
Aidan_Turner/dOnuu_9-nyI_0000024 677.9 684.7 
Aidan_Turner/dOnuu_9-nyI_0000025 691.6 698.1 
Aidan_Turner/dOnuu_9-nyI_0000026 701.2 710.8 
Aidan_Turner/dOnuu_9-nyI_0000027 719.2 724.9 
Aidan_Turner/dOnuu_9-nyI_0000028 744.7 753.8 
Aidan_Turner/dOnuu_9-nyI_0000029 754.7 785.0 
Aidan_Turner/dOnuu_9-nyI_0000030 801.2 828.8 
Aidan_Turner/dOnuu_9-nyI_0000031 830.6 839.6 
Aidan_Turner/dOnuu_9-nyI_0000032 884.4 892.8 
Aidan_Turner/dOnuu_9-nyI_0000033 907.4 911.4 
Aidan_Turner/dOnuu_9-nyI_0000034 912.5 921.5 
Aidan_Turner/dOnuu_9-nyI_0000035 927.4 932.1 
Aidan_Turner/dOnuu_9-nyI_0000036 969.2 979.4 
Aidan_Turner/dOnuu_9-nyI_0000037 980.2 985.3 
Aidan_Turner/dOnuu_9-nyI_0000038 1042.5 1066.2 
Aidan_Turner/dOnuu_9-nyI_0000039 1069.4 1073.4 
Aidan_Turner/dOnuu_9-nyI_0000040 1083.2 1092.0 
Aidan_Turner/dOnuu_9-nyI_0000041 1103.8 1113.0 
Aidan_Turner/dOnuu_9-nyI_0000042 1125.3 1129.9 
Aidan_Turner/dOnuu_9-nyI_0000043 1151.4 1156.0 
Aidan_Turner/dOnuu_9-nyI_0000044 1177.3 1202.1 
Aidan_Turner/dOnuu_9-nyI_0000045 1203.9 1227.9 
