POI: 			Hilarie_Burton 
Youtube ID: 	jBqtwUYODlU 
Video length: 	489.0 sec 
Set (V): 		dev 
 
Hilarie_Burton/jBqtwUYODlU_0000001 13.4 18.1 
Hilarie_Burton/jBqtwUYODlU_0000002 25.6 30.4 
Hilarie_Burton/jBqtwUYODlU_0000003 31.2 46.9 
Hilarie_Burton/jBqtwUYODlU_0000004 86.9 96.7 
Hilarie_Burton/jBqtwUYODlU_0000005 108.8 115.9 
Hilarie_Burton/jBqtwUYODlU_0000006 135.0 141.1 
Hilarie_Burton/jBqtwUYODlU_0000007 142.6 146.8 
Hilarie_Burton/jBqtwUYODlU_0000008 149.5 157.6 
Hilarie_Burton/jBqtwUYODlU_0000009 168.9 174.2 
Hilarie_Burton/jBqtwUYODlU_0000010 175.2 179.9 
Hilarie_Burton/jBqtwUYODlU_0000011 233.6 238.8 
Hilarie_Burton/jBqtwUYODlU_0000012 247.5 252.8 
Hilarie_Burton/jBqtwUYODlU_0000013 254.0 278.3 
Hilarie_Burton/jBqtwUYODlU_0000014 334.4 340.2 
Hilarie_Burton/jBqtwUYODlU_0000015 341.5 348.7 
Hilarie_Burton/jBqtwUYODlU_0000016 372.0 376.9 
Hilarie_Burton/jBqtwUYODlU_0000017 388.0 392.8 
Hilarie_Burton/jBqtwUYODlU_0000018 409.4 414.9 
Hilarie_Burton/jBqtwUYODlU_0000019 444.2 470.3 
Hilarie_Burton/jBqtwUYODlU_0000020 470.8 477.4 
Hilarie_Burton/jBqtwUYODlU_0000021 477.6 483.6 
