POI: 			Hilarie_Burton 
Youtube ID: 	Sd89So_Asyk 
Video length: 	298.2 sec 
Set (V): 		dev 
 
Hilarie_Burton/Sd89So_Asyk_0000001 10.1 14.8 
Hilarie_Burton/Sd89So_Asyk_0000002 17.0 26.4 
Hilarie_Burton/Sd89So_Asyk_0000003 30.4 38.8 
Hilarie_Burton/Sd89So_Asyk_0000004 46.0 51.8 
Hilarie_Burton/Sd89So_Asyk_0000005 58.8 69.3 
Hilarie_Burton/Sd89So_Asyk_0000006 70.5 79.7 
Hilarie_Burton/Sd89So_Asyk_0000007 89.2 114.6 
Hilarie_Burton/Sd89So_Asyk_0000008 116.7 122.8 
Hilarie_Burton/Sd89So_Asyk_0000009 123.6 128.1 
Hilarie_Burton/Sd89So_Asyk_0000010 131.6 138.5 
Hilarie_Burton/Sd89So_Asyk_0000011 141.3 163.3 
Hilarie_Burton/Sd89So_Asyk_0000012 165.0 169.0 
Hilarie_Burton/Sd89So_Asyk_0000013 174.5 179.7 
Hilarie_Burton/Sd89So_Asyk_0000014 180.3 187.1 
Hilarie_Burton/Sd89So_Asyk_0000015 194.1 202.1 
Hilarie_Burton/Sd89So_Asyk_0000016 205.7 210.4 
Hilarie_Burton/Sd89So_Asyk_0000017 211.2 216.0 
Hilarie_Burton/Sd89So_Asyk_0000018 216.6 228.6 
Hilarie_Burton/Sd89So_Asyk_0000019 229.0 239.6 
Hilarie_Burton/Sd89So_Asyk_0000020 244.5 249.7 
Hilarie_Burton/Sd89So_Asyk_0000021 249.9 260.2 
Hilarie_Burton/Sd89So_Asyk_0000022 264.0 284.3 
Hilarie_Burton/Sd89So_Asyk_0000023 286.9 295.8 
