POI: 			Akshay_Kumar 
Youtube ID: 	BaesL7QJLFU 
Video length: 	2078.9 sec 
Set (V): 		dev 
 
Akshay_Kumar/BaesL7QJLFU_0000001 183.4 189.8 
Akshay_Kumar/BaesL7QJLFU_0000002 253.2 257.7 
Akshay_Kumar/BaesL7QJLFU_0000003 269.6 273.9 
Akshay_Kumar/BaesL7QJLFU_0000004 530.2 539.1 
Akshay_Kumar/BaesL7QJLFU_0000005 648.7 654.2 
Akshay_Kumar/BaesL7QJLFU_0000006 682.6 687.7 
Akshay_Kumar/BaesL7QJLFU_0000007 848.6 855.6 
Akshay_Kumar/BaesL7QJLFU_0000008 934.6 939.4 
Akshay_Kumar/BaesL7QJLFU_0000009 973.2 980.2 
Akshay_Kumar/BaesL7QJLFU_0000010 1059.1 1064.6 
Akshay_Kumar/BaesL7QJLFU_0000011 1085.0 1093.0 
Akshay_Kumar/BaesL7QJLFU_0000012 1106.4 1110.5 
Akshay_Kumar/BaesL7QJLFU_0000013 1117.3 1123.2 
Akshay_Kumar/BaesL7QJLFU_0000014 1228.9 1244.7 
Akshay_Kumar/BaesL7QJLFU_0000015 1266.8 1273.6 
Akshay_Kumar/BaesL7QJLFU_0000016 1366.6 1371.1 
Akshay_Kumar/BaesL7QJLFU_0000017 1389.4 1393.9 
Akshay_Kumar/BaesL7QJLFU_0000018 1414.2 1423.9 
Akshay_Kumar/BaesL7QJLFU_0000019 1710.2 1726.7 
Akshay_Kumar/BaesL7QJLFU_0000020 1729.6 1733.8 
Akshay_Kumar/BaesL7QJLFU_0000021 1790.4 1794.8 
Akshay_Kumar/BaesL7QJLFU_0000022 1812.8 1817.5 
Akshay_Kumar/BaesL7QJLFU_0000023 1830.8 1835.7 
Akshay_Kumar/BaesL7QJLFU_0000024 1842.9 1851.1 
Akshay_Kumar/BaesL7QJLFU_0000025 1853.2 1858.6 
Akshay_Kumar/BaesL7QJLFU_0000026 1872.1 1877.5 
Akshay_Kumar/BaesL7QJLFU_0000027 1908.6 1913.5 
Akshay_Kumar/BaesL7QJLFU_0000028 1914.5 1921.9 
