POI: 			Akshay_Kumar 
Youtube ID: 	8WVqEfbZ4Ic 
Video length: 	530.7 sec 
Set (V): 		dev 
 
Akshay_Kumar/8WVqEfbZ4Ic_0000001 50.9 58.2 
Akshay_Kumar/8WVqEfbZ4Ic_0000002 82.3 89.6 
Akshay_Kumar/8WVqEfbZ4Ic_0000003 93.3 103.1 
Akshay_Kumar/8WVqEfbZ4Ic_0000004 117.9 124.2 
Akshay_Kumar/8WVqEfbZ4Ic_0000005 128.8 133.9 
Akshay_Kumar/8WVqEfbZ4Ic_0000006 143.8 148.6 
Akshay_Kumar/8WVqEfbZ4Ic_0000007 175.3 182.4 
Akshay_Kumar/8WVqEfbZ4Ic_0000008 237.3 241.6 
Akshay_Kumar/8WVqEfbZ4Ic_0000009 290.4 297.7 
Akshay_Kumar/8WVqEfbZ4Ic_0000010 301.2 306.3 
Akshay_Kumar/8WVqEfbZ4Ic_0000011 309.8 314.0 
Akshay_Kumar/8WVqEfbZ4Ic_0000012 335.4 339.4 
Akshay_Kumar/8WVqEfbZ4Ic_0000013 422.5 430.4 
Akshay_Kumar/8WVqEfbZ4Ic_0000014 459.0 463.4 
Akshay_Kumar/8WVqEfbZ4Ic_0000015 472.2 480.5 
Akshay_Kumar/8WVqEfbZ4Ic_0000016 490.0 494.5 
