POI: 			Akshay_Kumar 
Youtube ID: 	sci80gk6bUc 
Video length: 	2490.1 sec 
Set (V): 		dev 
 
Akshay_Kumar/sci80gk6bUc_0000001 77.5 84.6 
Akshay_Kumar/sci80gk6bUc_0000002 112.3 116.6 
Akshay_Kumar/sci80gk6bUc_0000003 201.4 206.4 
Akshay_Kumar/sci80gk6bUc_0000004 213.0 220.5 
Akshay_Kumar/sci80gk6bUc_0000005 230.4 241.1 
Akshay_Kumar/sci80gk6bUc_0000006 247.0 252.3 
Akshay_Kumar/sci80gk6bUc_0000007 252.5 260.6 
Akshay_Kumar/sci80gk6bUc_0000008 272.1 281.8 
Akshay_Kumar/sci80gk6bUc_0000009 299.1 306.6 
Akshay_Kumar/sci80gk6bUc_0000010 318.1 322.6 
Akshay_Kumar/sci80gk6bUc_0000011 343.3 348.0 
Akshay_Kumar/sci80gk6bUc_0000012 427.6 431.9 
Akshay_Kumar/sci80gk6bUc_0000013 441.4 446.7 
Akshay_Kumar/sci80gk6bUc_0000014 579.0 583.5 
Akshay_Kumar/sci80gk6bUc_0000015 611.2 618.0 
Akshay_Kumar/sci80gk6bUc_0000016 705.7 729.9 
Akshay_Kumar/sci80gk6bUc_0000017 745.6 752.1 
Akshay_Kumar/sci80gk6bUc_0000018 752.3 757.1 
Akshay_Kumar/sci80gk6bUc_0000019 765.5 773.0 
Akshay_Kumar/sci80gk6bUc_0000020 776.4 786.4 
Akshay_Kumar/sci80gk6bUc_0000021 757.6 766.2 
Akshay_Kumar/sci80gk6bUc_0000022 796.2 803.5 
Akshay_Kumar/sci80gk6bUc_0000023 903.4 908.4 
Akshay_Kumar/sci80gk6bUc_0000024 992.4 1004.9 
Akshay_Kumar/sci80gk6bUc_0000025 1053.4 1058.5 
Akshay_Kumar/sci80gk6bUc_0000026 1081.1 1087.0 
Akshay_Kumar/sci80gk6bUc_0000027 1110.5 1114.6 
Akshay_Kumar/sci80gk6bUc_0000028 1186.1 1198.1 
Akshay_Kumar/sci80gk6bUc_0000029 1277.0 1281.0 
Akshay_Kumar/sci80gk6bUc_0000030 1297.1 1302.1 
Akshay_Kumar/sci80gk6bUc_0000031 1317.8 1321.9 
Akshay_Kumar/sci80gk6bUc_0000032 1342.6 1351.8 
Akshay_Kumar/sci80gk6bUc_0000033 1396.3 1401.7 
Akshay_Kumar/sci80gk6bUc_0000034 1430.1 1437.6 
Akshay_Kumar/sci80gk6bUc_0000035 1445.7 1454.0 
Akshay_Kumar/sci80gk6bUc_0000036 1460.8 1465.0 
Akshay_Kumar/sci80gk6bUc_0000037 1467.1 1472.0 
Akshay_Kumar/sci80gk6bUc_0000038 1552.9 1560.5 
Akshay_Kumar/sci80gk6bUc_0000039 1598.9 1603.1 
Akshay_Kumar/sci80gk6bUc_0000040 1611.5 1622.8 
Akshay_Kumar/sci80gk6bUc_0000041 1639.9 1646.6 
Akshay_Kumar/sci80gk6bUc_0000042 1654.9 1665.4 
Akshay_Kumar/sci80gk6bUc_0000043 1663.0 1668.8 
Akshay_Kumar/sci80gk6bUc_0000044 1720.8 1725.2 
Akshay_Kumar/sci80gk6bUc_0000045 1742.3 1746.8 
Akshay_Kumar/sci80gk6bUc_0000046 1782.8 1787.4 
Akshay_Kumar/sci80gk6bUc_0000047 1801.1 1806.6 
Akshay_Kumar/sci80gk6bUc_0000048 1858.8 1864.6 
Akshay_Kumar/sci80gk6bUc_0000049 1891.7 1896.2 
Akshay_Kumar/sci80gk6bUc_0000050 1908.4 1915.7 
Akshay_Kumar/sci80gk6bUc_0000051 1954.6 1961.6 
Akshay_Kumar/sci80gk6bUc_0000052 2009.7 2016.7 
Akshay_Kumar/sci80gk6bUc_0000053 2029.0 2033.8 
Akshay_Kumar/sci80gk6bUc_0000054 2043.8 2047.9 
Akshay_Kumar/sci80gk6bUc_0000055 2055.6 2061.4 
Akshay_Kumar/sci80gk6bUc_0000056 2140.2 2144.6 
Akshay_Kumar/sci80gk6bUc_0000057 2228.6 2249.6 
Akshay_Kumar/sci80gk6bUc_0000058 2260.9 2267.2 
Akshay_Kumar/sci80gk6bUc_0000059 2267.4 2274.2 
