POI: 			Akshay_Kumar 
Youtube ID: 	eckQg181kQY 
Video length: 	2569.8 sec 
Set (V): 		dev 
 
Akshay_Kumar/eckQg181kQY_0000001 149.8 154.7 
Akshay_Kumar/eckQg181kQY_0000002 267.8 273.2 
Akshay_Kumar/eckQg181kQY_0000003 421.4 427.3 
Akshay_Kumar/eckQg181kQY_0000004 455.7 465.6 
Akshay_Kumar/eckQg181kQY_0000005 503.0 514.4 
Akshay_Kumar/eckQg181kQY_0000006 557.1 561.1 
Akshay_Kumar/eckQg181kQY_0000007 835.6 845.2 
Akshay_Kumar/eckQg181kQY_0000008 849.7 853.7 
Akshay_Kumar/eckQg181kQY_0000009 867.2 882.1 
Akshay_Kumar/eckQg181kQY_0000010 898.7 906.0 
Akshay_Kumar/eckQg181kQY_0000011 911.8 923.2 
Akshay_Kumar/eckQg181kQY_0000012 928.9 937.1 
Akshay_Kumar/eckQg181kQY_0000013 1077.2 1085.9 
Akshay_Kumar/eckQg181kQY_0000014 1150.2 1154.2 
Akshay_Kumar/eckQg181kQY_0000015 1160.9 1165.4 
Akshay_Kumar/eckQg181kQY_0000016 1231.3 1236.2 
Akshay_Kumar/eckQg181kQY_0000017 1268.7 1276.8 
Akshay_Kumar/eckQg181kQY_0000018 1344.8 1350.7 
Akshay_Kumar/eckQg181kQY_0000019 1642.5 1647.4 
Akshay_Kumar/eckQg181kQY_0000020 1694.3 1701.5 
Akshay_Kumar/eckQg181kQY_0000021 1829.4 1833.9 
Akshay_Kumar/eckQg181kQY_0000022 1880.6 1889.4 
Akshay_Kumar/eckQg181kQY_0000023 1894.8 1902.6 
Akshay_Kumar/eckQg181kQY_0000024 1948.6 1954.4 
Akshay_Kumar/eckQg181kQY_0000025 1966.0 1971.4 
Akshay_Kumar/eckQg181kQY_0000026 1975.2 1982.9 
Akshay_Kumar/eckQg181kQY_0000027 1984.0 1988.2 
Akshay_Kumar/eckQg181kQY_0000028 1999.0 2012.9 
Akshay_Kumar/eckQg181kQY_0000029 2073.9 2083.4 
Akshay_Kumar/eckQg181kQY_0000030 2092.5 2097.4 
Akshay_Kumar/eckQg181kQY_0000031 2103.6 2109.9 
Akshay_Kumar/eckQg181kQY_0000032 2136.0 2142.5 
Akshay_Kumar/eckQg181kQY_0000033 2162.2 2168.7 
Akshay_Kumar/eckQg181kQY_0000034 2178.5 2184.3 
Akshay_Kumar/eckQg181kQY_0000035 2188.6 2197.2 
Akshay_Kumar/eckQg181kQY_0000036 2213.0 2221.5 
Akshay_Kumar/eckQg181kQY_0000037 2230.4 2239.5 
Akshay_Kumar/eckQg181kQY_0000038 2255.9 2267.6 
Akshay_Kumar/eckQg181kQY_0000039 2295.9 2304.4 
Akshay_Kumar/eckQg181kQY_0000040 2369.7 2375.4 
Akshay_Kumar/eckQg181kQY_0000041 2388.1 2398.6 
Akshay_Kumar/eckQg181kQY_0000042 2406.5 2418.4 
Akshay_Kumar/eckQg181kQY_0000043 2423.0 2428.8 
