POI: 			Akshay_Kumar 
Youtube ID: 	A-Q7SmHQT70 
Video length: 	1061.7 sec 
Set (V): 		dev 
 
Akshay_Kumar/A-Q7SmHQT70_0000001 01.6 07.5 
Akshay_Kumar/A-Q7SmHQT70_0000002 146.8 151.9 
Akshay_Kumar/A-Q7SmHQT70_0000003 163.9 169.7 
Akshay_Kumar/A-Q7SmHQT70_0000004 183.8 188.6 
Akshay_Kumar/A-Q7SmHQT70_0000005 281.7 290.5 
Akshay_Kumar/A-Q7SmHQT70_0000006 313.7 323.2 
Akshay_Kumar/A-Q7SmHQT70_0000007 356.2 364.9 
Akshay_Kumar/A-Q7SmHQT70_0000008 372.4 379.4 
Akshay_Kumar/A-Q7SmHQT70_0000009 474.7 481.1 
Akshay_Kumar/A-Q7SmHQT70_0000010 482.0 486.2 
Akshay_Kumar/A-Q7SmHQT70_0000011 532.1 537.2 
Akshay_Kumar/A-Q7SmHQT70_0000012 642.1 653.7 
Akshay_Kumar/A-Q7SmHQT70_0000013 654.6 659.1 
Akshay_Kumar/A-Q7SmHQT70_0000014 675.8 689.8 
Akshay_Kumar/A-Q7SmHQT70_0000015 700.2 706.3 
Akshay_Kumar/A-Q7SmHQT70_0000016 807.0 812.0 
Akshay_Kumar/A-Q7SmHQT70_0000017 831.5 836.3 
Akshay_Kumar/A-Q7SmHQT70_0000018 872.4 879.1 
Akshay_Kumar/A-Q7SmHQT70_0000019 890.9 894.9 
Akshay_Kumar/A-Q7SmHQT70_0000020 933.1 946.0 
Akshay_Kumar/A-Q7SmHQT70_0000021 989.6 997.9 
Akshay_Kumar/A-Q7SmHQT70_0000022 1002.4 1010.0 
Akshay_Kumar/A-Q7SmHQT70_0000023 1011.0 1020.0 
Akshay_Kumar/A-Q7SmHQT70_0000024 1030.0 1038.1 
Akshay_Kumar/A-Q7SmHQT70_0000025 1040.8 1046.0 
