POI: 			Alexa_Davalos 
Youtube ID: 	1YDEn65O4io 
Video length: 	247.7 sec 
Set (V): 		dev 
 
Alexa_Davalos/1YDEn65O4io_0000001 02.8 07.2 
Alexa_Davalos/1YDEn65O4io_0000002 07.6 14.6 
Alexa_Davalos/1YDEn65O4io_0000003 18.4 26.0 
Alexa_Davalos/1YDEn65O4io_0000004 30.8 35.6 
Alexa_Davalos/1YDEn65O4io_0000005 45.8 55.2 
Alexa_Davalos/1YDEn65O4io_0000006 55.8 60.3 
Alexa_Davalos/1YDEn65O4io_0000007 62.3 69.4 
Alexa_Davalos/1YDEn65O4io_0000008 73.4 79.1 
Alexa_Davalos/1YDEn65O4io_0000009 82.6 87.1 
Alexa_Davalos/1YDEn65O4io_0000010 98.6 106.4 
Alexa_Davalos/1YDEn65O4io_0000011 114.3 121.2 
Alexa_Davalos/1YDEn65O4io_0000012 134.9 140.2 
Alexa_Davalos/1YDEn65O4io_0000013 144.4 150.2 
Alexa_Davalos/1YDEn65O4io_0000014 155.2 168.8 
Alexa_Davalos/1YDEn65O4io_0000015 177.5 183.3 
Alexa_Davalos/1YDEn65O4io_0000016 183.4 191.7 
Alexa_Davalos/1YDEn65O4io_0000017 199.4 205.1 
Alexa_Davalos/1YDEn65O4io_0000018 216.0 225.7 
Alexa_Davalos/1YDEn65O4io_0000019 234.8 242.1 
