POI: 			Paul_Reubens 
Youtube ID: 	ABf8WRyME5Q 
Video length: 	807.4 sec 
Set (V): 		dev 
 
Paul_Reubens/ABf8WRyME5Q_0000001 158.4 169.1 
Paul_Reubens/ABf8WRyME5Q_0000002 222.0 233.8 
Paul_Reubens/ABf8WRyME5Q_0000003 236.2 253.5 
Paul_Reubens/ABf8WRyME5Q_0000004 258.0 267.9 
Paul_Reubens/ABf8WRyME5Q_0000005 272.3 278.4 
Paul_Reubens/ABf8WRyME5Q_0000006 306.8 311.4 
Paul_Reubens/ABf8WRyME5Q_0000007 310.0 320.4 
Paul_Reubens/ABf8WRyME5Q_0000008 337.2 341.9 
Paul_Reubens/ABf8WRyME5Q_0000009 416.4 427.9 
Paul_Reubens/ABf8WRyME5Q_0000010 435.6 445.5 
Paul_Reubens/ABf8WRyME5Q_0000011 447.1 455.2 
Paul_Reubens/ABf8WRyME5Q_0000012 592.6 597.1 
Paul_Reubens/ABf8WRyME5Q_0000013 598.6 603.2 
Paul_Reubens/ABf8WRyME5Q_0000014 609.6 614.2 
Paul_Reubens/ABf8WRyME5Q_0000015 614.4 621.3 
Paul_Reubens/ABf8WRyME5Q_0000016 641.0 650.3 
Paul_Reubens/ABf8WRyME5Q_0000017 653.7 658.0 
Paul_Reubens/ABf8WRyME5Q_0000018 711.9 716.0 
Paul_Reubens/ABf8WRyME5Q_0000019 739.9 770.0 
Paul_Reubens/ABf8WRyME5Q_0000020 770.6 780.6 
Paul_Reubens/ABf8WRyME5Q_0000021 782.4 788.2 
Paul_Reubens/ABf8WRyME5Q_0000022 790.4 798.6 
