POI: 			Nathaniel_Buzolic 
Youtube ID: 	2bn9i9re2yI 
Video length: 	550.9 sec 
Set (V): 		dev 
 
Nathaniel_Buzolic/2bn9i9re2yI_0000001 05.2 17.4 
Nathaniel_Buzolic/2bn9i9re2yI_0000002 20.5 30.2 
Nathaniel_Buzolic/2bn9i9re2yI_0000003 34.9 39.4 
Nathaniel_Buzolic/2bn9i9re2yI_0000004 39.7 90.3 
Nathaniel_Buzolic/2bn9i9re2yI_0000005 108.8 120.1 
Nathaniel_Buzolic/2bn9i9re2yI_0000006 122.7 126.8 
Nathaniel_Buzolic/2bn9i9re2yI_0000007 131.0 143.9 
Nathaniel_Buzolic/2bn9i9re2yI_0000008 151.6 156.8 
Nathaniel_Buzolic/2bn9i9re2yI_0000009 168.7 182.6 
Nathaniel_Buzolic/2bn9i9re2yI_0000010 182.7 187.1 
Nathaniel_Buzolic/2bn9i9re2yI_0000011 203.1 212.2 
Nathaniel_Buzolic/2bn9i9re2yI_0000012 213.1 219.0 
Nathaniel_Buzolic/2bn9i9re2yI_0000013 226.6 230.7 
Nathaniel_Buzolic/2bn9i9re2yI_0000014 244.6 252.8 
Nathaniel_Buzolic/2bn9i9re2yI_0000015 253.2 257.6 
Nathaniel_Buzolic/2bn9i9re2yI_0000016 263.0 273.6 
Nathaniel_Buzolic/2bn9i9re2yI_0000017 277.7 281.9 
Nathaniel_Buzolic/2bn9i9re2yI_0000018 284.6 290.6 
Nathaniel_Buzolic/2bn9i9re2yI_0000019 291.6 296.1 
Nathaniel_Buzolic/2bn9i9re2yI_0000020 318.0 322.6 
Nathaniel_Buzolic/2bn9i9re2yI_0000021 323.1 330.4 
Nathaniel_Buzolic/2bn9i9re2yI_0000022 339.8 347.4 
Nathaniel_Buzolic/2bn9i9re2yI_0000023 350.9 358.6 
Nathaniel_Buzolic/2bn9i9re2yI_0000024 382.4 392.0 
Nathaniel_Buzolic/2bn9i9re2yI_0000025 339.8 350.1 
Nathaniel_Buzolic/2bn9i9re2yI_0000026 394.2 398.2 
Nathaniel_Buzolic/2bn9i9re2yI_0000027 400.2 408.8 
Nathaniel_Buzolic/2bn9i9re2yI_0000028 417.4 425.2 
Nathaniel_Buzolic/2bn9i9re2yI_0000029 432.7 444.7 
Nathaniel_Buzolic/2bn9i9re2yI_0000030 445.8 455.8 
Nathaniel_Buzolic/2bn9i9re2yI_0000031 456.4 462.0 
Nathaniel_Buzolic/2bn9i9re2yI_0000032 475.6 489.4 
Nathaniel_Buzolic/2bn9i9re2yI_0000033 490.0 498.8 
Nathaniel_Buzolic/2bn9i9re2yI_0000034 503.2 507.4 
Nathaniel_Buzolic/2bn9i9re2yI_0000035 512.4 522.1 
Nathaniel_Buzolic/2bn9i9re2yI_0000036 523.3 535.3 
Nathaniel_Buzolic/2bn9i9re2yI_0000037 543.7 547.9 
