POI: 			Nathaniel_Buzolic 
Youtube ID: 	Bi5KXsnagfk 
Video length: 	272.4 sec 
Set (V): 		dev 
 
Nathaniel_Buzolic/Bi5KXsnagfk_0000001 03.2 08.1 
Nathaniel_Buzolic/Bi5KXsnagfk_0000002 23.2 28.2 
Nathaniel_Buzolic/Bi5KXsnagfk_0000003 33.0 44.5 
Nathaniel_Buzolic/Bi5KXsnagfk_0000004 56.0 60.6 
Nathaniel_Buzolic/Bi5KXsnagfk_0000005 61.6 66.9 
Nathaniel_Buzolic/Bi5KXsnagfk_0000006 68.7 94.8 
Nathaniel_Buzolic/Bi5KXsnagfk_0000007 101.0 120.5 
Nathaniel_Buzolic/Bi5KXsnagfk_0000008 129.6 136.2 
Nathaniel_Buzolic/Bi5KXsnagfk_0000009 136.5 143.7 
Nathaniel_Buzolic/Bi5KXsnagfk_0000010 145.5 152.6 
Nathaniel_Buzolic/Bi5KXsnagfk_0000011 163.9 169.0 
Nathaniel_Buzolic/Bi5KXsnagfk_0000012 170.2 175.3 
Nathaniel_Buzolic/Bi5KXsnagfk_0000013 176.0 199.1 
Nathaniel_Buzolic/Bi5KXsnagfk_0000014 201.6 206.1 
Nathaniel_Buzolic/Bi5KXsnagfk_0000015 218.7 224.6 
Nathaniel_Buzolic/Bi5KXsnagfk_0000016 225.7 230.5 
Nathaniel_Buzolic/Bi5KXsnagfk_0000017 230.9 271.0 
