POI: 			Will_Yun_Lee 
Youtube ID: 	2CuYwowXT-A 
Video length: 	449.8 sec 
Set (V): 		dev 
 
Will_Yun_Lee/2CuYwowXT-A_0000001 72.9 80.8 
Will_Yun_Lee/2CuYwowXT-A_0000002 85.4 95.9 
Will_Yun_Lee/2CuYwowXT-A_0000003 114.0 122.2 
Will_Yun_Lee/2CuYwowXT-A_0000004 124.4 139.1 
Will_Yun_Lee/2CuYwowXT-A_0000005 156.4 162.0 
Will_Yun_Lee/2CuYwowXT-A_0000006 193.4 199.0 
Will_Yun_Lee/2CuYwowXT-A_0000007 202.2 213.2 
Will_Yun_Lee/2CuYwowXT-A_0000008 219.6 236.2 
Will_Yun_Lee/2CuYwowXT-A_0000009 275.2 290.2 
Will_Yun_Lee/2CuYwowXT-A_0000010 303.4 313.8 
Will_Yun_Lee/2CuYwowXT-A_0000011 315.8 324.1 
Will_Yun_Lee/2CuYwowXT-A_0000012 343.5 351.0 
Will_Yun_Lee/2CuYwowXT-A_0000013 353.0 360.4 
Will_Yun_Lee/2CuYwowXT-A_0000014 374.0 379.2 
Will_Yun_Lee/2CuYwowXT-A_0000015 382.1 387.5 
Will_Yun_Lee/2CuYwowXT-A_0000016 405.9 411.3 
Will_Yun_Lee/2CuYwowXT-A_0000017 413.7 418.4 
Will_Yun_Lee/2CuYwowXT-A_0000018 433.7 438.8 
