POI: 			Woody_Harrelson 
Youtube ID: 	GS5BrDTDwH4 
Video length: 	793.2 sec 
Set (V): 		dev 
 
Woody_Harrelson/GS5BrDTDwH4_0000001 64.4 69.9 
Woody_Harrelson/GS5BrDTDwH4_0000002 70.8 75.2 
Woody_Harrelson/GS5BrDTDwH4_0000003 81.0 90.8 
Woody_Harrelson/GS5BrDTDwH4_0000004 110.4 115.4 
Woody_Harrelson/GS5BrDTDwH4_0000005 137.0 142.9 
Woody_Harrelson/GS5BrDTDwH4_0000006 147.8 152.8 
Woody_Harrelson/GS5BrDTDwH4_0000007 165.5 179.1 
Woody_Harrelson/GS5BrDTDwH4_0000008 206.9 211.3 
Woody_Harrelson/GS5BrDTDwH4_0000009 212.8 218.6 
Woody_Harrelson/GS5BrDTDwH4_0000010 282.0 296.8 
Woody_Harrelson/GS5BrDTDwH4_0000011 296.6 311.5 
Woody_Harrelson/GS5BrDTDwH4_0000012 352.6 357.6 
Woody_Harrelson/GS5BrDTDwH4_0000013 391.0 397.9 
Woody_Harrelson/GS5BrDTDwH4_0000014 442.0 454.2 
Woody_Harrelson/GS5BrDTDwH4_0000015 458.6 467.2 
Woody_Harrelson/GS5BrDTDwH4_0000016 623.1 627.7 
Woody_Harrelson/GS5BrDTDwH4_0000017 676.6 681.6 
Woody_Harrelson/GS5BrDTDwH4_0000018 721.4 732.6 
Woody_Harrelson/GS5BrDTDwH4_0000019 734.1 742.3 
