POI: 			Julia_Stiles 
Youtube ID: 	c8OgOm3PQYY 
Video length: 	251.8 sec 
Set (V): 		dev 
 
Julia_Stiles/c8OgOm3PQYY_0000001 05.9 09.9 
Julia_Stiles/c8OgOm3PQYY_0000002 10.0 14.1 
Julia_Stiles/c8OgOm3PQYY_0000003 15.7 33.7 
Julia_Stiles/c8OgOm3PQYY_0000004 34.9 39.2 
Julia_Stiles/c8OgOm3PQYY_0000005 40.5 45.3 
Julia_Stiles/c8OgOm3PQYY_0000006 47.4 57.6 
Julia_Stiles/c8OgOm3PQYY_0000007 68.1 77.0 
Julia_Stiles/c8OgOm3PQYY_0000008 77.4 85.2 
Julia_Stiles/c8OgOm3PQYY_0000009 109.4 116.6 
Julia_Stiles/c8OgOm3PQYY_0000010 119.8 126.1 
Julia_Stiles/c8OgOm3PQYY_0000011 133.4 142.8 
Julia_Stiles/c8OgOm3PQYY_0000012 159.8 163.8 
Julia_Stiles/c8OgOm3PQYY_0000013 164.8 172.9 
Julia_Stiles/c8OgOm3PQYY_0000014 178.4 183.1 
Julia_Stiles/c8OgOm3PQYY_0000015 190.6 196.6 
Julia_Stiles/c8OgOm3PQYY_0000016 196.6 210.8 
