POI: 			Kathryn_Prescott 
Youtube ID: 	svhAUz6G4to 
Video length: 	263.6 sec 
Set (V): 		dev 
 
Kathryn_Prescott/svhAUz6G4to_0000001 08.2 12.2 
Kathryn_Prescott/svhAUz6G4to_0000002 12.9 18.2 
Kathryn_Prescott/svhAUz6G4to_0000003 31.9 38.2 
Kathryn_Prescott/svhAUz6G4to_0000004 45.4 53.6 
Kathryn_Prescott/svhAUz6G4to_0000005 63.3 76.2 
Kathryn_Prescott/svhAUz6G4to_0000006 79.0 85.3 
Kathryn_Prescott/svhAUz6G4to_0000007 86.3 94.7 
Kathryn_Prescott/svhAUz6G4to_0000008 112.4 132.0 
Kathryn_Prescott/svhAUz6G4to_0000009 133.8 144.2 
Kathryn_Prescott/svhAUz6G4to_0000010 159.8 170.8 
Kathryn_Prescott/svhAUz6G4to_0000011 176.0 185.1 
Kathryn_Prescott/svhAUz6G4to_0000012 190.3 199.0 
Kathryn_Prescott/svhAUz6G4to_0000013 210.2 215.6 
Kathryn_Prescott/svhAUz6G4to_0000014 216.6 224.9 
Kathryn_Prescott/svhAUz6G4to_0000015 232.5 237.2 
Kathryn_Prescott/svhAUz6G4to_0000016 239.6 249.4 
