POI: 			Kathryn_Prescott 
Youtube ID: 	8QNLnekKaPU 
Video length: 	471.9 sec 
Set (V): 		dev 
 
Kathryn_Prescott/8QNLnekKaPU_0000001 06.4 12.4 
Kathryn_Prescott/8QNLnekKaPU_0000002 13.2 24.6 
Kathryn_Prescott/8QNLnekKaPU_0000003 41.2 63.1 
Kathryn_Prescott/8QNLnekKaPU_0000004 64.0 70.0 
Kathryn_Prescott/8QNLnekKaPU_0000005 81.1 86.4 
Kathryn_Prescott/8QNLnekKaPU_0000006 104.6 116.0 
Kathryn_Prescott/8QNLnekKaPU_0000007 124.3 128.5 
Kathryn_Prescott/8QNLnekKaPU_0000008 130.5 135.6 
Kathryn_Prescott/8QNLnekKaPU_0000009 154.9 159.1 
Kathryn_Prescott/8QNLnekKaPU_0000010 169.3 176.0 
Kathryn_Prescott/8QNLnekKaPU_0000011 179.6 186.3 
Kathryn_Prescott/8QNLnekKaPU_0000012 190.5 197.9 
Kathryn_Prescott/8QNLnekKaPU_0000013 201.2 207.8 
Kathryn_Prescott/8QNLnekKaPU_0000014 213.6 227.5 
Kathryn_Prescott/8QNLnekKaPU_0000015 241.2 252.0 
Kathryn_Prescott/8QNLnekKaPU_0000016 252.4 263.4 
Kathryn_Prescott/8QNLnekKaPU_0000017 258.2 262.2 
Kathryn_Prescott/8QNLnekKaPU_0000018 264.4 273.8 
Kathryn_Prescott/8QNLnekKaPU_0000019 292.3 316.5 
Kathryn_Prescott/8QNLnekKaPU_0000020 318.5 325.1 
Kathryn_Prescott/8QNLnekKaPU_0000021 328.5 337.1 
Kathryn_Prescott/8QNLnekKaPU_0000022 341.6 362.1 
Kathryn_Prescott/8QNLnekKaPU_0000023 365.0 370.1 
Kathryn_Prescott/8QNLnekKaPU_0000024 370.7 375.2 
Kathryn_Prescott/8QNLnekKaPU_0000025 379.3 388.5 
Kathryn_Prescott/8QNLnekKaPU_0000026 412.6 427.2 
Kathryn_Prescott/8QNLnekKaPU_0000027 438.0 444.6 
Kathryn_Prescott/8QNLnekKaPU_0000028 449.0 453.3 
