POI: 			Kathryn_Prescott 
Youtube ID: 	nN21HgpUrFg 
Video length: 	359.8 sec 
Set (V): 		dev 
 
Kathryn_Prescott/nN21HgpUrFg_0000001 08.7 18.4 
Kathryn_Prescott/nN21HgpUrFg_0000002 32.9 37.7 
Kathryn_Prescott/nN21HgpUrFg_0000003 42.8 47.1 
Kathryn_Prescott/nN21HgpUrFg_0000004 98.5 108.4 
Kathryn_Prescott/nN21HgpUrFg_0000005 109.7 115.8 
Kathryn_Prescott/nN21HgpUrFg_0000006 116.1 121.4 
Kathryn_Prescott/nN21HgpUrFg_0000007 137.4 151.8 
Kathryn_Prescott/nN21HgpUrFg_0000008 178.7 184.1 
Kathryn_Prescott/nN21HgpUrFg_0000009 184.4 194.5 
Kathryn_Prescott/nN21HgpUrFg_0000010 199.4 204.2 
Kathryn_Prescott/nN21HgpUrFg_0000011 205.3 210.0 
Kathryn_Prescott/nN21HgpUrFg_0000012 214.8 223.6 
Kathryn_Prescott/nN21HgpUrFg_0000013 227.2 236.6 
Kathryn_Prescott/nN21HgpUrFg_0000014 262.2 268.2 
Kathryn_Prescott/nN21HgpUrFg_0000015 268.4 273.8 
Kathryn_Prescott/nN21HgpUrFg_0000016 274.8 286.7 
Kathryn_Prescott/nN21HgpUrFg_0000017 310.8 324.3 
Kathryn_Prescott/nN21HgpUrFg_0000018 340.8 348.9 
