POI: 			Vince_Gilligan 
Youtube ID: 	O77p-6-AqP4 
Video length: 	3269.1 sec 
Set (V): 		dev 
 
Vince_Gilligan/O77p-6-AqP4_0000001 08.3 15.6 
Vince_Gilligan/O77p-6-AqP4_0000002 17.3 27.4 
Vince_Gilligan/O77p-6-AqP4_0000003 27.7 32.5 
Vince_Gilligan/O77p-6-AqP4_0000004 155.0 169.4 
Vince_Gilligan/O77p-6-AqP4_0000005 171.2 175.2 
Vince_Gilligan/O77p-6-AqP4_0000006 182.8 192.4 
Vince_Gilligan/O77p-6-AqP4_0000007 193.4 198.1 
Vince_Gilligan/O77p-6-AqP4_0000008 231.6 237.2 
Vince_Gilligan/O77p-6-AqP4_0000009 258.1 262.4 
Vince_Gilligan/O77p-6-AqP4_0000010 292.0 303.3 
Vince_Gilligan/O77p-6-AqP4_0000011 335.4 340.8 
Vince_Gilligan/O77p-6-AqP4_0000012 341.7 348.1 
Vince_Gilligan/O77p-6-AqP4_0000013 355.5 361.5 
Vince_Gilligan/O77p-6-AqP4_0000014 396.1 400.8 
Vince_Gilligan/O77p-6-AqP4_0000015 419.7 425.9 
Vince_Gilligan/O77p-6-AqP4_0000016 429.5 434.7 
Vince_Gilligan/O77p-6-AqP4_0000017 451.1 457.1 
Vince_Gilligan/O77p-6-AqP4_0000018 457.8 464.2 
Vince_Gilligan/O77p-6-AqP4_0000019 505.0 509.0 
Vince_Gilligan/O77p-6-AqP4_0000020 518.1 522.4 
Vince_Gilligan/O77p-6-AqP4_0000021 523.2 532.6 
Vince_Gilligan/O77p-6-AqP4_0000022 533.5 537.6 
Vince_Gilligan/O77p-6-AqP4_0000023 541.6 545.9 
Vince_Gilligan/O77p-6-AqP4_0000024 556.3 565.5 
Vince_Gilligan/O77p-6-AqP4_0000025 572.6 578.3 
Vince_Gilligan/O77p-6-AqP4_0000026 584.5 593.4 
Vince_Gilligan/O77p-6-AqP4_0000027 594.2 600.2 
Vince_Gilligan/O77p-6-AqP4_0000028 573.6 581.6 
Vince_Gilligan/O77p-6-AqP4_0000029 657.5 665.7 
Vince_Gilligan/O77p-6-AqP4_0000030 666.6 674.7 
Vince_Gilligan/O77p-6-AqP4_0000031 674.9 686.6 
Vince_Gilligan/O77p-6-AqP4_0000032 690.6 698.0 
Vince_Gilligan/O77p-6-AqP4_0000033 715.9 719.9 
Vince_Gilligan/O77p-6-AqP4_0000034 757.2 765.3 
Vince_Gilligan/O77p-6-AqP4_0000035 766.4 773.9 
