POI: 			Vince_Gilligan 
Youtube ID: 	F61EC40dTxE 
Video length: 	355.5 sec 
Set (V): 		dev 
 
Vince_Gilligan/F61EC40dTxE_0000001 05.0 13.2 
Vince_Gilligan/F61EC40dTxE_0000002 16.5 29.8 
Vince_Gilligan/F61EC40dTxE_0000003 30.6 41.2 
Vince_Gilligan/F61EC40dTxE_0000004 41.3 45.5 
Vince_Gilligan/F61EC40dTxE_0000005 46.8 53.9 
Vince_Gilligan/F61EC40dTxE_0000006 79.1 85.6 
Vince_Gilligan/F61EC40dTxE_0000007 86.4 92.4 
Vince_Gilligan/F61EC40dTxE_0000008 93.5 102.7 
Vince_Gilligan/F61EC40dTxE_0000009 108.0 115.6 
Vince_Gilligan/F61EC40dTxE_0000010 142.4 156.9 
Vince_Gilligan/F61EC40dTxE_0000011 159.4 166.6 
Vince_Gilligan/F61EC40dTxE_0000012 166.9 171.1 
Vince_Gilligan/F61EC40dTxE_0000013 182.6 192.7 
Vince_Gilligan/F61EC40dTxE_0000014 194.0 203.9 
Vince_Gilligan/F61EC40dTxE_0000015 204.0 222.7 
Vince_Gilligan/F61EC40dTxE_0000016 223.3 230.2 
Vince_Gilligan/F61EC40dTxE_0000017 231.3 243.7 
Vince_Gilligan/F61EC40dTxE_0000018 244.2 248.8 
Vince_Gilligan/F61EC40dTxE_0000019 252.0 256.2 
Vince_Gilligan/F61EC40dTxE_0000020 257.0 283.9 
Vince_Gilligan/F61EC40dTxE_0000021 284.4 297.9 
Vince_Gilligan/F61EC40dTxE_0000022 298.3 310.0 
Vince_Gilligan/F61EC40dTxE_0000023 310.4 315.9 
Vince_Gilligan/F61EC40dTxE_0000024 317.0 321.8 
Vince_Gilligan/F61EC40dTxE_0000025 159.7 166.6 
Vince_Gilligan/F61EC40dTxE_0000026 180.3 185.6 
Vince_Gilligan/F61EC40dTxE_0000027 235.3 243.7 
Vince_Gilligan/F61EC40dTxE_0000028 324.2 331.5 
Vince_Gilligan/F61EC40dTxE_0000029 332.1 339.1 
