POI: 			Edward_Asner 
Youtube ID: 	DSGE2F5sTcg 
Video length: 	606.7 sec 
Set (V): 		test 
 
Edward_Asner/DSGE2F5sTcg_0000001 18.2 23.2 
Edward_Asner/DSGE2F5sTcg_0000002 25.1 29.8 
Edward_Asner/DSGE2F5sTcg_0000003 42.2 46.2 
Edward_Asner/DSGE2F5sTcg_0000004 50.1 55.3 
Edward_Asner/DSGE2F5sTcg_0000005 94.7 102.0 
Edward_Asner/DSGE2F5sTcg_0000006 113.1 117.3 
Edward_Asner/DSGE2F5sTcg_0000007 125.7 134.1 
Edward_Asner/DSGE2F5sTcg_0000008 144.0 152.7 
Edward_Asner/DSGE2F5sTcg_0000009 158.0 163.4 
Edward_Asner/DSGE2F5sTcg_0000010 166.7 172.2 
Edward_Asner/DSGE2F5sTcg_0000011 196.6 204.0 
Edward_Asner/DSGE2F5sTcg_0000012 228.1 237.0 
Edward_Asner/DSGE2F5sTcg_0000013 246.0 254.0 
Edward_Asner/DSGE2F5sTcg_0000014 246.0 253.9 
Edward_Asner/DSGE2F5sTcg_0000015 281.4 288.8 
Edward_Asner/DSGE2F5sTcg_0000016 298.6 306.4 
Edward_Asner/DSGE2F5sTcg_0000017 308.2 317.1 
Edward_Asner/DSGE2F5sTcg_0000018 342.2 346.9 
Edward_Asner/DSGE2F5sTcg_0000019 348.8 356.8 
Edward_Asner/DSGE2F5sTcg_0000020 374.2 379.1 
Edward_Asner/DSGE2F5sTcg_0000021 392.4 396.6 
Edward_Asner/DSGE2F5sTcg_0000022 411.2 419.2 
Edward_Asner/DSGE2F5sTcg_0000023 431.6 442.0 
Edward_Asner/DSGE2F5sTcg_0000024 444.6 449.6 
Edward_Asner/DSGE2F5sTcg_0000025 454.0 461.8 
Edward_Asner/DSGE2F5sTcg_0000026 478.0 482.5 
Edward_Asner/DSGE2F5sTcg_0000027 485.4 489.8 
Edward_Asner/DSGE2F5sTcg_0000028 504.7 513.4 
Edward_Asner/DSGE2F5sTcg_0000029 564.5 569.4 
Edward_Asner/DSGE2F5sTcg_0000030 571.6 575.6 
Edward_Asner/DSGE2F5sTcg_0000031 580.1 584.2 
