POI: 			Jeremy_Shada 
Youtube ID: 	wi1172et_98 
Video length: 	1968.4 sec 
Set (V): 		dev 
 
Jeremy_Shada/wi1172et_98_0000001 70.4 79.0 
Jeremy_Shada/wi1172et_98_0000002 80.0 87.5 
Jeremy_Shada/wi1172et_98_0000003 88.0 94.6 
Jeremy_Shada/wi1172et_98_0000004 99.6 105.2 
Jeremy_Shada/wi1172et_98_0000005 106.3 113.8 
Jeremy_Shada/wi1172et_98_0000006 372.4 387.5 
Jeremy_Shada/wi1172et_98_0000007 390.4 405.3 
Jeremy_Shada/wi1172et_98_0000008 419.4 428.9 
Jeremy_Shada/wi1172et_98_0000009 438.1 443.4 
Jeremy_Shada/wi1172et_98_0000010 445.6 451.6 
Jeremy_Shada/wi1172et_98_0000011 454.4 472.5 
Jeremy_Shada/wi1172et_98_0000012 474.7 478.9 
Jeremy_Shada/wi1172et_98_0000013 489.7 504.2 
Jeremy_Shada/wi1172et_98_0000014 504.7 516.3 
Jeremy_Shada/wi1172et_98_0000015 519.9 529.1 
Jeremy_Shada/wi1172et_98_0000016 532.5 538.3 
Jeremy_Shada/wi1172et_98_0000017 562.8 573.9 
Jeremy_Shada/wi1172et_98_0000018 580.2 586.3 
Jeremy_Shada/wi1172et_98_0000019 590.4 605.9 
Jeremy_Shada/wi1172et_98_0000020 612.4 618.8 
Jeremy_Shada/wi1172et_98_0000021 622.9 627.2 
Jeremy_Shada/wi1172et_98_0000022 632.2 644.0 
Jeremy_Shada/wi1172et_98_0000023 660.7 676.2 
Jeremy_Shada/wi1172et_98_0000024 678.2 683.7 
Jeremy_Shada/wi1172et_98_0000025 684.0 694.7 
Jeremy_Shada/wi1172et_98_0000026 705.8 710.9 
Jeremy_Shada/wi1172et_98_0000027 711.7 721.8 
Jeremy_Shada/wi1172et_98_0000028 772.0 782.7 
Jeremy_Shada/wi1172et_98_0000029 782.6 786.8 
Jeremy_Shada/wi1172et_98_0000030 802.6 808.0 
Jeremy_Shada/wi1172et_98_0000031 809.0 816.2 
Jeremy_Shada/wi1172et_98_0000032 906.0 913.2 
Jeremy_Shada/wi1172et_98_0000033 913.8 930.9 
Jeremy_Shada/wi1172et_98_0000034 931.4 937.5 
Jeremy_Shada/wi1172et_98_0000035 938.6 948.0 
Jeremy_Shada/wi1172et_98_0000036 939.7 945.8 
Jeremy_Shada/wi1172et_98_0000037 982.4 995.6 
Jeremy_Shada/wi1172et_98_0000038 999.0 1005.4 
Jeremy_Shada/wi1172et_98_0000039 1018.8 1024.0 
Jeremy_Shada/wi1172et_98_0000040 1027.5 1036.6 
Jeremy_Shada/wi1172et_98_0000041 1042.9 1056.3 
Jeremy_Shada/wi1172et_98_0000042 1072.2 1086.2 
Jeremy_Shada/wi1172et_98_0000043 1087.3 1097.6 
Jeremy_Shada/wi1172et_98_0000044 1149.9 1154.2 
Jeremy_Shada/wi1172et_98_0000045 1195.1 1199.8 
Jeremy_Shada/wi1172et_98_0000046 1202.6 1207.2 
Jeremy_Shada/wi1172et_98_0000047 1235.9 1243.7 
Jeremy_Shada/wi1172et_98_0000048 1299.9 1304.2 
Jeremy_Shada/wi1172et_98_0000049 1300.4 1322.2 
Jeremy_Shada/wi1172et_98_0000050 1352.0 1371.7 
Jeremy_Shada/wi1172et_98_0000051 1373.2 1385.9 
Jeremy_Shada/wi1172et_98_0000052 1392.9 1397.4 
Jeremy_Shada/wi1172et_98_0000053 1403.2 1407.5 
Jeremy_Shada/wi1172et_98_0000054 1409.4 1415.4 
Jeremy_Shada/wi1172et_98_0000055 1416.0 1430.5 
Jeremy_Shada/wi1172et_98_0000056 1450.2 1461.9 
Jeremy_Shada/wi1172et_98_0000057 1464.2 1471.8 
Jeremy_Shada/wi1172et_98_0000058 1481.6 1488.0 
Jeremy_Shada/wi1172et_98_0000059 1502.5 1513.2 
Jeremy_Shada/wi1172et_98_0000060 1500.5 1513.3 
Jeremy_Shada/wi1172et_98_0000061 1513.4 1517.6 
Jeremy_Shada/wi1172et_98_0000062 1548.3 1562.7 
Jeremy_Shada/wi1172et_98_0000063 1570.0 1574.2 
Jeremy_Shada/wi1172et_98_0000064 1624.8 1634.4 
Jeremy_Shada/wi1172et_98_0000065 1653.6 1659.0 
Jeremy_Shada/wi1172et_98_0000066 1680.8 1692.1 
Jeremy_Shada/wi1172et_98_0000067 1709.2 1719.2 
Jeremy_Shada/wi1172et_98_0000068 1871.3 1875.6 
Jeremy_Shada/wi1172et_98_0000069 1910.6 1915.2 
