POI: 			Jeremy_Shada 
Youtube ID: 	TfwUMkgs2tI 
Video length: 	484.7 sec 
Set (V): 		dev 
 
Jeremy_Shada/TfwUMkgs2tI_0000001 46.3 51.2 
Jeremy_Shada/TfwUMkgs2tI_0000002 71.0 85.7 
Jeremy_Shada/TfwUMkgs2tI_0000003 105.8 114.4 
Jeremy_Shada/TfwUMkgs2tI_0000004 115.7 120.4 
Jeremy_Shada/TfwUMkgs2tI_0000005 121.3 129.3 
Jeremy_Shada/TfwUMkgs2tI_0000006 134.6 141.5 
Jeremy_Shada/TfwUMkgs2tI_0000007 146.0 150.9 
Jeremy_Shada/TfwUMkgs2tI_0000008 155.7 161.6 
Jeremy_Shada/TfwUMkgs2tI_0000009 162.3 168.0 
Jeremy_Shada/TfwUMkgs2tI_0000010 174.6 179.4 
Jeremy_Shada/TfwUMkgs2tI_0000011 235.5 240.2 
Jeremy_Shada/TfwUMkgs2tI_0000012 240.4 244.4 
Jeremy_Shada/TfwUMkgs2tI_0000013 247.4 251.4 
Jeremy_Shada/TfwUMkgs2tI_0000014 269.2 277.3 
Jeremy_Shada/TfwUMkgs2tI_0000015 278.1 282.9 
Jeremy_Shada/TfwUMkgs2tI_0000016 297.3 301.5 
Jeremy_Shada/TfwUMkgs2tI_0000017 351.1 355.2 
Jeremy_Shada/TfwUMkgs2tI_0000018 380.2 385.8 
Jeremy_Shada/TfwUMkgs2tI_0000019 394.7 403.2 
Jeremy_Shada/TfwUMkgs2tI_0000020 448.1 454.3 
Jeremy_Shada/TfwUMkgs2tI_0000021 465.9 471.3 
