POI: 			Jeremy_Shada 
Youtube ID: 	UsKxf4LQKrg 
Video length: 	3423.1 sec 
Set (V): 		dev 
 
Jeremy_Shada/UsKxf4LQKrg_0000001 132.0 139.6 
Jeremy_Shada/UsKxf4LQKrg_0000002 163.1 168.8 
Jeremy_Shada/UsKxf4LQKrg_0000003 169.7 176.6 
Jeremy_Shada/UsKxf4LQKrg_0000004 177.5 183.6 
Jeremy_Shada/UsKxf4LQKrg_0000005 184.6 198.7 
Jeremy_Shada/UsKxf4LQKrg_0000006 199.8 215.3 
Jeremy_Shada/UsKxf4LQKrg_0000007 216.4 220.5 
Jeremy_Shada/UsKxf4LQKrg_0000008 243.1 255.3 
Jeremy_Shada/UsKxf4LQKrg_0000009 259.6 280.9 
Jeremy_Shada/UsKxf4LQKrg_0000010 300.2 310.4 
Jeremy_Shada/UsKxf4LQKrg_0000011 311.9 326.9 
Jeremy_Shada/UsKxf4LQKrg_0000012 343.9 351.4 
Jeremy_Shada/UsKxf4LQKrg_0000013 587.2 594.0 
Jeremy_Shada/UsKxf4LQKrg_0000014 687.9 693.8 
Jeremy_Shada/UsKxf4LQKrg_0000015 730.7 740.7 
Jeremy_Shada/UsKxf4LQKrg_0000016 742.4 749.1 
Jeremy_Shada/UsKxf4LQKrg_0000017 783.6 789.5 
Jeremy_Shada/UsKxf4LQKrg_0000018 1121.9 1135.3 
Jeremy_Shada/UsKxf4LQKrg_0000019 1262.4 1267.9 
Jeremy_Shada/UsKxf4LQKrg_0000020 1671.6 1676.6 
Jeremy_Shada/UsKxf4LQKrg_0000021 1682.6 1687.1 
Jeremy_Shada/UsKxf4LQKrg_0000022 1728.9 1737.2 
Jeremy_Shada/UsKxf4LQKrg_0000023 1738.7 1742.7 
Jeremy_Shada/UsKxf4LQKrg_0000024 1835.3 1841.4 
Jeremy_Shada/UsKxf4LQKrg_0000025 1843.2 1861.0 
Jeremy_Shada/UsKxf4LQKrg_0000026 1899.2 1907.6 
Jeremy_Shada/UsKxf4LQKrg_0000027 1988.6 1994.1 
Jeremy_Shada/UsKxf4LQKrg_0000028 1999.0 2003.8 
Jeremy_Shada/UsKxf4LQKrg_0000029 2019.9 2026.4 
Jeremy_Shada/UsKxf4LQKrg_0000030 2027.6 2036.2 
Jeremy_Shada/UsKxf4LQKrg_0000031 2045.2 2049.6 
Jeremy_Shada/UsKxf4LQKrg_0000032 2056.8 2065.9 
Jeremy_Shada/UsKxf4LQKrg_0000033 2038.5 2043.8 
Jeremy_Shada/UsKxf4LQKrg_0000034 2271.5 2278.9 
Jeremy_Shada/UsKxf4LQKrg_0000035 2344.0 2350.0 
Jeremy_Shada/UsKxf4LQKrg_0000036 2423.2 2427.3 
Jeremy_Shada/UsKxf4LQKrg_0000037 2427.9 2438.5 
Jeremy_Shada/UsKxf4LQKrg_0000038 2439.5 2447.1 
Jeremy_Shada/UsKxf4LQKrg_0000039 2488.5 2499.9 
Jeremy_Shada/UsKxf4LQKrg_0000040 2508.4 2514.3 
Jeremy_Shada/UsKxf4LQKrg_0000041 2515.1 2519.9 
Jeremy_Shada/UsKxf4LQKrg_0000042 2521.4 2528.1 
Jeremy_Shada/UsKxf4LQKrg_0000043 2528.8 2538.4 
