POI: 			Kathy_Griffin 
Youtube ID: 	xA1G08NNJIk 
Video length: 	462.3 sec 
Set (V): 		dev 
 
Kathy_Griffin/xA1G08NNJIk_0000001 28.1 34.0 
Kathy_Griffin/xA1G08NNJIk_0000002 39.2 44.6 
Kathy_Griffin/xA1G08NNJIk_0000003 101.5 105.4 
Kathy_Griffin/xA1G08NNJIk_0000004 136.7 144.2 
Kathy_Griffin/xA1G08NNJIk_0000005 144.8 149.9 
Kathy_Griffin/xA1G08NNJIk_0000006 164.0 170.7 
Kathy_Griffin/xA1G08NNJIk_0000007 203.3 207.9 
Kathy_Griffin/xA1G08NNJIk_0000008 212.6 219.4 
Kathy_Griffin/xA1G08NNJIk_0000009 238.8 243.3 
Kathy_Griffin/xA1G08NNJIk_0000010 279.0 303.2 
Kathy_Griffin/xA1G08NNJIk_0000011 312.0 318.7 
Kathy_Griffin/xA1G08NNJIk_0000012 321.8 327.8 
Kathy_Griffin/xA1G08NNJIk_0000013 381.6 385.6 
Kathy_Griffin/xA1G08NNJIk_0000014 386.1 392.4 
Kathy_Griffin/xA1G08NNJIk_0000015 395.6 404.4 
Kathy_Griffin/xA1G08NNJIk_0000016 416.2 420.1 
