POI: 			Ingrid_Bergman 
Youtube ID: 	OIE4KGFLGQE 
Video length: 	765.4 sec 
Set (V): 		dev 
 
Ingrid_Bergman/OIE4KGFLGQE_0000001 72.1 79.3 
Ingrid_Bergman/OIE4KGFLGQE_0000002 87.9 96.4 
Ingrid_Bergman/OIE4KGFLGQE_0000003 98.6 108.6 
Ingrid_Bergman/OIE4KGFLGQE_0000004 110.8 115.8 
Ingrid_Bergman/OIE4KGFLGQE_0000005 139.8 144.3 
Ingrid_Bergman/OIE4KGFLGQE_0000006 157.9 164.9 
Ingrid_Bergman/OIE4KGFLGQE_0000007 191.5 197.2 
Ingrid_Bergman/OIE4KGFLGQE_0000008 210.8 219.4 
Ingrid_Bergman/OIE4KGFLGQE_0000009 233.0 252.4 
Ingrid_Bergman/OIE4KGFLGQE_0000010 264.3 269.1 
Ingrid_Bergman/OIE4KGFLGQE_0000011 278.6 287.7 
Ingrid_Bergman/OIE4KGFLGQE_0000012 288.0 298.2 
Ingrid_Bergman/OIE4KGFLGQE_0000013 310.4 320.9 
Ingrid_Bergman/OIE4KGFLGQE_0000014 339.5 346.9 
Ingrid_Bergman/OIE4KGFLGQE_0000015 351.9 363.0 
Ingrid_Bergman/OIE4KGFLGQE_0000016 402.9 409.9 
Ingrid_Bergman/OIE4KGFLGQE_0000017 410.8 418.1 
Ingrid_Bergman/OIE4KGFLGQE_0000018 418.5 426.2 
Ingrid_Bergman/OIE4KGFLGQE_0000019 444.7 457.4 
Ingrid_Bergman/OIE4KGFLGQE_0000020 467.6 484.6 
Ingrid_Bergman/OIE4KGFLGQE_0000021 570.8 582.3 
Ingrid_Bergman/OIE4KGFLGQE_0000022 583.8 588.2 
Ingrid_Bergman/OIE4KGFLGQE_0000023 599.5 604.0 
Ingrid_Bergman/OIE4KGFLGQE_0000024 611.5 618.4 
Ingrid_Bergman/OIE4KGFLGQE_0000025 631.4 635.6 
Ingrid_Bergman/OIE4KGFLGQE_0000026 643.3 649.4 
Ingrid_Bergman/OIE4KGFLGQE_0000027 676.4 680.7 
Ingrid_Bergman/OIE4KGFLGQE_0000028 681.8 693.5 
Ingrid_Bergman/OIE4KGFLGQE_0000029 698.9 703.4 
Ingrid_Bergman/OIE4KGFLGQE_0000030 705.9 716.2 
Ingrid_Bergman/OIE4KGFLGQE_0000031 719.6 723.6 
Ingrid_Bergman/OIE4KGFLGQE_0000032 746.2 755.6 
Ingrid_Bergman/OIE4KGFLGQE_0000033 758.2 762.7 
