POI: 			Brad_Paisley 
Youtube ID: 	BG3GMtnNBPY 
Video length: 	1380.9 sec 
Set (V): 		dev 
 
Brad_Paisley/BG3GMtnNBPY_0000001 01.3 10.8 
Brad_Paisley/BG3GMtnNBPY_0000002 11.1 17.4 
Brad_Paisley/BG3GMtnNBPY_0000003 128.0 137.4 
Brad_Paisley/BG3GMtnNBPY_0000004 145.6 156.2 
Brad_Paisley/BG3GMtnNBPY_0000005 163.0 167.3 
Brad_Paisley/BG3GMtnNBPY_0000006 301.4 317.8 
Brad_Paisley/BG3GMtnNBPY_0000007 340.4 350.4 
Brad_Paisley/BG3GMtnNBPY_0000008 353.9 359.2 
Brad_Paisley/BG3GMtnNBPY_0000009 361.6 366.6 
Brad_Paisley/BG3GMtnNBPY_0000010 375.5 382.2 
Brad_Paisley/BG3GMtnNBPY_0000011 622.1 626.8 
Brad_Paisley/BG3GMtnNBPY_0000012 629.4 633.7 
Brad_Paisley/BG3GMtnNBPY_0000013 748.4 754.4 
Brad_Paisley/BG3GMtnNBPY_0000014 867.4 872.4 
Brad_Paisley/BG3GMtnNBPY_0000015 899.2 914.0 
Brad_Paisley/BG3GMtnNBPY_0000016 925.1 930.7 
Brad_Paisley/BG3GMtnNBPY_0000017 977.0 981.2 
Brad_Paisley/BG3GMtnNBPY_0000018 1076.1 1082.1 
Brad_Paisley/BG3GMtnNBPY_0000019 1095.0 1099.7 
Brad_Paisley/BG3GMtnNBPY_0000020 1116.2 1120.7 
Brad_Paisley/BG3GMtnNBPY_0000021 1132.4 1147.8 
Brad_Paisley/BG3GMtnNBPY_0000022 1149.8 1155.8 
Brad_Paisley/BG3GMtnNBPY_0000023 1303.0 1307.2 
