POI: 			Olga_Kurylenko 
Youtube ID: 	lpYlc7haTII 
Video length: 	346.5 sec 
Set (V): 		dev 
 
Olga_Kurylenko/lpYlc7haTII_0000001 23.6 31.6 
Olga_Kurylenko/lpYlc7haTII_0000002 31.7 35.8 
Olga_Kurylenko/lpYlc7haTII_0000003 36.3 42.8 
Olga_Kurylenko/lpYlc7haTII_0000004 43.4 56.8 
Olga_Kurylenko/lpYlc7haTII_0000005 58.8 66.2 
Olga_Kurylenko/lpYlc7haTII_0000006 66.5 70.8 
Olga_Kurylenko/lpYlc7haTII_0000007 101.5 108.3 
Olga_Kurylenko/lpYlc7haTII_0000008 108.6 114.2 
Olga_Kurylenko/lpYlc7haTII_0000009 118.2 125.2 
Olga_Kurylenko/lpYlc7haTII_0000010 125.8 141.8 
Olga_Kurylenko/lpYlc7haTII_0000011 154.4 159.8 
Olga_Kurylenko/lpYlc7haTII_0000012 180.7 198.0 
Olga_Kurylenko/lpYlc7haTII_0000013 198.9 216.0 
Olga_Kurylenko/lpYlc7haTII_0000014 216.2 228.2 
Olga_Kurylenko/lpYlc7haTII_0000015 260.7 268.7 
Olga_Kurylenko/lpYlc7haTII_0000016 268.8 285.1 
Olga_Kurylenko/lpYlc7haTII_0000017 294.4 304.6 
Olga_Kurylenko/lpYlc7haTII_0000018 310.2 317.0 
Olga_Kurylenko/lpYlc7haTII_0000019 330.6 338.0 
