POI: 			Olga_Kurylenko 
Youtube ID: 	y2phlxI4jtU 
Video length: 	435.3 sec 
Set (V): 		dev 
 
Olga_Kurylenko/y2phlxI4jtU_0000001 12.0 22.4 
Olga_Kurylenko/y2phlxI4jtU_0000002 27.4 36.7 
Olga_Kurylenko/y2phlxI4jtU_0000003 50.4 59.8 
Olga_Kurylenko/y2phlxI4jtU_0000004 60.9 68.8 
Olga_Kurylenko/y2phlxI4jtU_0000005 74.7 79.1 
Olga_Kurylenko/y2phlxI4jtU_0000006 79.8 87.9 
Olga_Kurylenko/y2phlxI4jtU_0000007 89.1 97.8 
Olga_Kurylenko/y2phlxI4jtU_0000008 103.3 116.3 
Olga_Kurylenko/y2phlxI4jtU_0000009 116.4 132.0 
Olga_Kurylenko/y2phlxI4jtU_0000010 140.3 147.2 
Olga_Kurylenko/y2phlxI4jtU_0000011 149.6 155.7 
Olga_Kurylenko/y2phlxI4jtU_0000012 159.0 163.5 
Olga_Kurylenko/y2phlxI4jtU_0000013 173.0 179.0 
Olga_Kurylenko/y2phlxI4jtU_0000014 181.2 193.0 
Olga_Kurylenko/y2phlxI4jtU_0000015 193.0 211.8 
Olga_Kurylenko/y2phlxI4jtU_0000016 227.4 249.1 
Olga_Kurylenko/y2phlxI4jtU_0000017 250.1 254.2 
Olga_Kurylenko/y2phlxI4jtU_0000018 263.1 274.4 
Olga_Kurylenko/y2phlxI4jtU_0000019 275.1 279.1 
Olga_Kurylenko/y2phlxI4jtU_0000020 280.1 289.2 
Olga_Kurylenko/y2phlxI4jtU_0000021 308.3 312.4 
Olga_Kurylenko/y2phlxI4jtU_0000022 312.5 317.1 
Olga_Kurylenko/y2phlxI4jtU_0000023 318.2 337.9 
Olga_Kurylenko/y2phlxI4jtU_0000024 339.7 353.2 
Olga_Kurylenko/y2phlxI4jtU_0000025 353.9 364.4 
Olga_Kurylenko/y2phlxI4jtU_0000026 376.3 387.4 
Olga_Kurylenko/y2phlxI4jtU_0000027 394.5 403.0 
