POI: 			Olga_Kurylenko 
Youtube ID: 	P1uwrb8YZaw 
Video length: 	304.9 sec 
Set (V): 		dev 
 
Olga_Kurylenko/P1uwrb8YZaw_0000001 09.5 23.2 
Olga_Kurylenko/P1uwrb8YZaw_0000002 23.8 28.6 
Olga_Kurylenko/P1uwrb8YZaw_0000003 38.4 52.0 
Olga_Kurylenko/P1uwrb8YZaw_0000004 65.0 75.8 
Olga_Kurylenko/P1uwrb8YZaw_0000005 76.6 90.8 
Olga_Kurylenko/P1uwrb8YZaw_0000006 91.9 99.1 
Olga_Kurylenko/P1uwrb8YZaw_0000007 100.9 105.0 
Olga_Kurylenko/P1uwrb8YZaw_0000008 105.8 110.4 
Olga_Kurylenko/P1uwrb8YZaw_0000009 117.6 138.4 
Olga_Kurylenko/P1uwrb8YZaw_0000010 140.4 148.8 
Olga_Kurylenko/P1uwrb8YZaw_0000011 199.1 208.0 
Olga_Kurylenko/P1uwrb8YZaw_0000012 212.0 216.0 
Olga_Kurylenko/P1uwrb8YZaw_0000013 222.0 229.2 
Olga_Kurylenko/P1uwrb8YZaw_0000014 242.0 250.4 
Olga_Kurylenko/P1uwrb8YZaw_0000015 240.6 255.5 
Olga_Kurylenko/P1uwrb8YZaw_0000016 255.7 261.5 
Olga_Kurylenko/P1uwrb8YZaw_0000017 261.6 269.0 
Olga_Kurylenko/P1uwrb8YZaw_0000018 270.6 276.7 
Olga_Kurylenko/P1uwrb8YZaw_0000019 277.2 287.7 
Olga_Kurylenko/P1uwrb8YZaw_0000020 288.8 294.5 
