POI: 			Sonam_Kapoor 
Youtube ID: 	3gQ8REIxTmw 
Video length: 	527.8 sec 
Set (V): 		dev 
 
Sonam_Kapoor/3gQ8REIxTmw_0000001 34.7 41.0 
Sonam_Kapoor/3gQ8REIxTmw_0000002 44.5 55.8 
Sonam_Kapoor/3gQ8REIxTmw_0000003 59.2 66.7 
Sonam_Kapoor/3gQ8REIxTmw_0000004 94.2 98.4 
Sonam_Kapoor/3gQ8REIxTmw_0000005 124.7 131.5 
Sonam_Kapoor/3gQ8REIxTmw_0000006 134.8 143.2 
Sonam_Kapoor/3gQ8REIxTmw_0000007 150.6 160.0 
Sonam_Kapoor/3gQ8REIxTmw_0000008 163.6 170.2 
Sonam_Kapoor/3gQ8REIxTmw_0000009 192.6 199.2 
Sonam_Kapoor/3gQ8REIxTmw_0000010 206.4 214.8 
Sonam_Kapoor/3gQ8REIxTmw_0000011 218.0 222.9 
Sonam_Kapoor/3gQ8REIxTmw_0000012 230.4 237.7 
Sonam_Kapoor/3gQ8REIxTmw_0000013 243.8 252.7 
Sonam_Kapoor/3gQ8REIxTmw_0000014 261.6 272.2 
Sonam_Kapoor/3gQ8REIxTmw_0000015 317.3 329.2 
Sonam_Kapoor/3gQ8REIxTmw_0000016 336.6 341.3 
Sonam_Kapoor/3gQ8REIxTmw_0000017 348.0 358.8 
Sonam_Kapoor/3gQ8REIxTmw_0000018 387.6 395.9 
Sonam_Kapoor/3gQ8REIxTmw_0000019 469.8 480.5 
Sonam_Kapoor/3gQ8REIxTmw_0000020 500.4 510.7 
