POI: 			Sonam_Kapoor 
Youtube ID: 	I3_NJyP6jp0 
Video length: 	1144.9 sec 
Set (V): 		dev 
 
Sonam_Kapoor/I3_NJyP6jp0_0000001 155.9 161.8 
Sonam_Kapoor/I3_NJyP6jp0_0000002 232.6 237.2 
Sonam_Kapoor/I3_NJyP6jp0_0000003 247.2 252.7 
Sonam_Kapoor/I3_NJyP6jp0_0000004 352.9 360.4 
Sonam_Kapoor/I3_NJyP6jp0_0000005 436.2 441.1 
Sonam_Kapoor/I3_NJyP6jp0_0000006 453.3 457.3 
Sonam_Kapoor/I3_NJyP6jp0_0000007 463.5 477.8 
Sonam_Kapoor/I3_NJyP6jp0_0000008 486.0 494.3 
Sonam_Kapoor/I3_NJyP6jp0_0000009 498.7 515.2 
Sonam_Kapoor/I3_NJyP6jp0_0000010 518.2 529.6 
Sonam_Kapoor/I3_NJyP6jp0_0000011 532.3 536.6 
Sonam_Kapoor/I3_NJyP6jp0_0000012 537.1 542.2 
Sonam_Kapoor/I3_NJyP6jp0_0000013 552.8 564.2 
Sonam_Kapoor/I3_NJyP6jp0_0000014 568.4 574.2 
Sonam_Kapoor/I3_NJyP6jp0_0000015 590.6 605.4 
Sonam_Kapoor/I3_NJyP6jp0_0000016 612.7 619.4 
Sonam_Kapoor/I3_NJyP6jp0_0000017 630.9 645.1 
Sonam_Kapoor/I3_NJyP6jp0_0000018 995.1 999.4 
Sonam_Kapoor/I3_NJyP6jp0_0000019 1105.0 1109.6 
