POI: 			Lou_Ferrigno 
Youtube ID: 	l_JlQt6ULTE 
Video length: 	351.3 sec 
Set (V): 		dev 
 
Lou_Ferrigno/l_JlQt6ULTE_0000001 46.0 50.4 
Lou_Ferrigno/l_JlQt6ULTE_0000002 50.6 59.9 
Lou_Ferrigno/l_JlQt6ULTE_0000003 62.1 73.5 
Lou_Ferrigno/l_JlQt6ULTE_0000004 76.9 82.5 
Lou_Ferrigno/l_JlQt6ULTE_0000005 82.7 86.6 
Lou_Ferrigno/l_JlQt6ULTE_0000006 89.3 96.1 
Lou_Ferrigno/l_JlQt6ULTE_0000007 107.2 116.8 
Lou_Ferrigno/l_JlQt6ULTE_0000008 121.4 133.2 
Lou_Ferrigno/l_JlQt6ULTE_0000009 127.8 139.6 
Lou_Ferrigno/l_JlQt6ULTE_0000010 180.6 193.8 
Lou_Ferrigno/l_JlQt6ULTE_0000011 203.3 212.1 
Lou_Ferrigno/l_JlQt6ULTE_0000012 224.0 237.6 
Lou_Ferrigno/l_JlQt6ULTE_0000013 238.8 244.6 
Lou_Ferrigno/l_JlQt6ULTE_0000014 249.0 260.8 
Lou_Ferrigno/l_JlQt6ULTE_0000015 285.5 295.7 
Lou_Ferrigno/l_JlQt6ULTE_0000016 297.3 302.6 
Lou_Ferrigno/l_JlQt6ULTE_0000017 303.6 311.6 
Lou_Ferrigno/l_JlQt6ULTE_0000018 335.1 339.2 
