POI: 			Lou_Ferrigno 
Youtube ID: 	PEn62UYWICw 
Video length: 	468.2 sec 
Set (V): 		dev 
 
Lou_Ferrigno/PEn62UYWICw_0000001 50.8 55.6 
Lou_Ferrigno/PEn62UYWICw_0000002 61.5 67.3 
Lou_Ferrigno/PEn62UYWICw_0000003 69.6 73.8 
Lou_Ferrigno/PEn62UYWICw_0000004 76.5 83.0 
Lou_Ferrigno/PEn62UYWICw_0000005 84.9 95.3 
Lou_Ferrigno/PEn62UYWICw_0000006 124.9 130.4 
Lou_Ferrigno/PEn62UYWICw_0000007 131.3 136.7 
Lou_Ferrigno/PEn62UYWICw_0000008 146.0 152.1 
Lou_Ferrigno/PEn62UYWICw_0000009 206.0 212.9 
Lou_Ferrigno/PEn62UYWICw_0000010 213.8 222.3 
Lou_Ferrigno/PEn62UYWICw_0000011 236.7 247.8 
Lou_Ferrigno/PEn62UYWICw_0000012 309.2 316.8 
Lou_Ferrigno/PEn62UYWICw_0000013 327.5 336.6 
Lou_Ferrigno/PEn62UYWICw_0000014 362.0 368.0 
Lou_Ferrigno/PEn62UYWICw_0000015 371.2 378.6 
Lou_Ferrigno/PEn62UYWICw_0000016 391.6 397.2 
Lou_Ferrigno/PEn62UYWICw_0000017 421.7 437.7 
Lou_Ferrigno/PEn62UYWICw_0000018 438.7 443.8 
