POI: 			William_Baldwin 
Youtube ID: 	HJjQT6xYqcg 
Video length: 	1831.9 sec 
Set (V): 		dev 
 
William_Baldwin/HJjQT6xYqcg_0000001 98.2 108.2 
William_Baldwin/HJjQT6xYqcg_0000002 110.1 136.2 
William_Baldwin/HJjQT6xYqcg_0000003 139.4 143.5 
William_Baldwin/HJjQT6xYqcg_0000004 159.0 163.2 
William_Baldwin/HJjQT6xYqcg_0000005 165.7 171.0 
William_Baldwin/HJjQT6xYqcg_0000006 307.9 314.0 
William_Baldwin/HJjQT6xYqcg_0000007 315.2 356.2 
William_Baldwin/HJjQT6xYqcg_0000008 378.1 388.8 
William_Baldwin/HJjQT6xYqcg_0000009 390.0 397.0 
William_Baldwin/HJjQT6xYqcg_0000010 398.6 416.6 
William_Baldwin/HJjQT6xYqcg_0000011 423.7 437.4 
William_Baldwin/HJjQT6xYqcg_0000012 548.9 553.8 
William_Baldwin/HJjQT6xYqcg_0000013 553.9 568.4 
William_Baldwin/HJjQT6xYqcg_0000014 571.4 578.0 
William_Baldwin/HJjQT6xYqcg_0000015 579.7 584.3 
William_Baldwin/HJjQT6xYqcg_0000016 584.7 588.8 
William_Baldwin/HJjQT6xYqcg_0000017 618.4 624.8 
William_Baldwin/HJjQT6xYqcg_0000018 624.9 633.6 
William_Baldwin/HJjQT6xYqcg_0000019 634.2 648.8 
William_Baldwin/HJjQT6xYqcg_0000020 651.0 658.4 
William_Baldwin/HJjQT6xYqcg_0000021 714.2 718.9 
William_Baldwin/HJjQT6xYqcg_0000022 751.6 761.2 
William_Baldwin/HJjQT6xYqcg_0000023 762.3 774.2 
William_Baldwin/HJjQT6xYqcg_0000024 776.6 781.1 
William_Baldwin/HJjQT6xYqcg_0000025 802.6 819.6 
William_Baldwin/HJjQT6xYqcg_0000026 883.5 890.2 
William_Baldwin/HJjQT6xYqcg_0000027 894.5 902.1 
William_Baldwin/HJjQT6xYqcg_0000028 904.8 913.7 
William_Baldwin/HJjQT6xYqcg_0000029 914.3 918.3 
William_Baldwin/HJjQT6xYqcg_0000030 967.0 991.8 
William_Baldwin/HJjQT6xYqcg_0000031 992.1 999.8 
William_Baldwin/HJjQT6xYqcg_0000032 1003.6 1011.2 
William_Baldwin/HJjQT6xYqcg_0000033 1011.4 1031.6 
William_Baldwin/HJjQT6xYqcg_0000034 1036.6 1061.1 
William_Baldwin/HJjQT6xYqcg_0000035 1063.2 1070.4 
William_Baldwin/HJjQT6xYqcg_0000036 1070.9 1076.2 
William_Baldwin/HJjQT6xYqcg_0000037 1133.1 1141.0 
William_Baldwin/HJjQT6xYqcg_0000038 1143.1 1149.6 
William_Baldwin/HJjQT6xYqcg_0000039 1150.8 1158.0 
William_Baldwin/HJjQT6xYqcg_0000040 1163.9 1167.9 
William_Baldwin/HJjQT6xYqcg_0000041 1201.6 1236.6 
William_Baldwin/HJjQT6xYqcg_0000042 1238.6 1249.4 
William_Baldwin/HJjQT6xYqcg_0000043 1254.1 1258.3 
William_Baldwin/HJjQT6xYqcg_0000044 1260.5 1268.9 
William_Baldwin/HJjQT6xYqcg_0000045 1280.6 1301.5 
William_Baldwin/HJjQT6xYqcg_0000046 1302.4 1306.8 
William_Baldwin/HJjQT6xYqcg_0000047 1307.2 1312.6 
William_Baldwin/HJjQT6xYqcg_0000048 1323.4 1327.5 
William_Baldwin/HJjQT6xYqcg_0000049 1337.2 1346.8 
William_Baldwin/HJjQT6xYqcg_0000050 1347.2 1358.2 
William_Baldwin/HJjQT6xYqcg_0000051 1360.0 1367.2 
William_Baldwin/HJjQT6xYqcg_0000052 1368.4 1376.3 
William_Baldwin/HJjQT6xYqcg_0000053 1378.2 1383.2 
William_Baldwin/HJjQT6xYqcg_0000054 1411.4 1419.5 
William_Baldwin/HJjQT6xYqcg_0000055 1419.8 1428.5 
William_Baldwin/HJjQT6xYqcg_0000056 1428.8 1440.2 
William_Baldwin/HJjQT6xYqcg_0000057 1441.3 1450.0 
William_Baldwin/HJjQT6xYqcg_0000058 1458.2 1481.9 
William_Baldwin/HJjQT6xYqcg_0000059 1500.2 1511.5 
William_Baldwin/HJjQT6xYqcg_0000060 1513.7 1521.6 
William_Baldwin/HJjQT6xYqcg_0000061 1522.5 1533.1 
