POI: 			Steven_Berkoff 
Youtube ID: 	4y5JogtS8Ek 
Video length: 	786.9 sec 
Set (V): 		dev 
 
Steven_Berkoff/4y5JogtS8Ek_0000001 02.8 07.3 
Steven_Berkoff/4y5JogtS8Ek_0000002 08.6 18.0 
Steven_Berkoff/4y5JogtS8Ek_0000003 18.9 29.0 
Steven_Berkoff/4y5JogtS8Ek_0000004 34.1 38.3 
Steven_Berkoff/4y5JogtS8Ek_0000005 69.4 78.7 
Steven_Berkoff/4y5JogtS8Ek_0000006 79.0 111.6 
Steven_Berkoff/4y5JogtS8Ek_0000007 129.2 153.4 
Steven_Berkoff/4y5JogtS8Ek_0000008 157.8 183.6 
Steven_Berkoff/4y5JogtS8Ek_0000009 195.1 203.9 
Steven_Berkoff/4y5JogtS8Ek_0000010 210.2 221.4 
Steven_Berkoff/4y5JogtS8Ek_0000011 223.3 230.0 
Steven_Berkoff/4y5JogtS8Ek_0000012 241.3 263.8 
Steven_Berkoff/4y5JogtS8Ek_0000013 283.7 289.7 
Steven_Berkoff/4y5JogtS8Ek_0000014 290.9 296.3 
Steven_Berkoff/4y5JogtS8Ek_0000015 298.0 311.8 
Steven_Berkoff/4y5JogtS8Ek_0000016 312.3 322.5 
Steven_Berkoff/4y5JogtS8Ek_0000017 345.4 353.0 
Steven_Berkoff/4y5JogtS8Ek_0000018 369.6 378.8 
Steven_Berkoff/4y5JogtS8Ek_0000019 379.0 386.0 
Steven_Berkoff/4y5JogtS8Ek_0000020 394.5 405.1 
Steven_Berkoff/4y5JogtS8Ek_0000021 407.0 413.2 
Steven_Berkoff/4y5JogtS8Ek_0000022 413.5 434.0 
Steven_Berkoff/4y5JogtS8Ek_0000023 437.6 456.5 
Steven_Berkoff/4y5JogtS8Ek_0000024 479.8 491.7 
Steven_Berkoff/4y5JogtS8Ek_0000025 512.1 522.9 
Steven_Berkoff/4y5JogtS8Ek_0000026 565.2 569.8 
Steven_Berkoff/4y5JogtS8Ek_0000027 574.8 584.5 
Steven_Berkoff/4y5JogtS8Ek_0000028 584.8 589.5 
Steven_Berkoff/4y5JogtS8Ek_0000029 594.6 604.9 
Steven_Berkoff/4y5JogtS8Ek_0000030 624.9 629.7 
Steven_Berkoff/4y5JogtS8Ek_0000031 636.9 641.7 
Steven_Berkoff/4y5JogtS8Ek_0000032 647.0 650.9 
Steven_Berkoff/4y5JogtS8Ek_0000033 665.4 674.4 
Steven_Berkoff/4y5JogtS8Ek_0000034 676.6 682.0 
Steven_Berkoff/4y5JogtS8Ek_0000035 684.2 692.2 
Steven_Berkoff/4y5JogtS8Ek_0000036 705.5 712.6 
Steven_Berkoff/4y5JogtS8Ek_0000037 713.5 729.9 
Steven_Berkoff/4y5JogtS8Ek_0000038 744.4 766.5 
Steven_Berkoff/4y5JogtS8Ek_0000039 767.1 771.2 
Steven_Berkoff/4y5JogtS8Ek_0000040 772.1 779.2 
