POI: 			Candace_Cameron_Bure 
Youtube ID: 	QeRAaXF37a8 
Video length: 	264.5 sec 
Set (V): 		dev 
 
Candace_Cameron_Bure/QeRAaXF37a8_0000001 27.9 33.7 
Candace_Cameron_Bure/QeRAaXF37a8_0000002 39.3 45.4 
Candace_Cameron_Bure/QeRAaXF37a8_0000003 60.2 66.8 
Candace_Cameron_Bure/QeRAaXF37a8_0000004 73.4 82.5 
Candace_Cameron_Bure/QeRAaXF37a8_0000005 89.2 93.1 
Candace_Cameron_Bure/QeRAaXF37a8_0000006 98.7 107.2 
Candace_Cameron_Bure/QeRAaXF37a8_0000007 113.2 123.8 
Candace_Cameron_Bure/QeRAaXF37a8_0000008 128.6 135.5 
Candace_Cameron_Bure/QeRAaXF37a8_0000009 141.4 149.2 
Candace_Cameron_Bure/QeRAaXF37a8_0000010 169.2 173.7 
Candace_Cameron_Bure/QeRAaXF37a8_0000011 174.0 180.7 
Candace_Cameron_Bure/QeRAaXF37a8_0000012 180.8 185.2 
Candace_Cameron_Bure/QeRAaXF37a8_0000013 190.7 195.6 
Candace_Cameron_Bure/QeRAaXF37a8_0000014 201.8 209.6 
Candace_Cameron_Bure/QeRAaXF37a8_0000015 226.2 231.1 
Candace_Cameron_Bure/QeRAaXF37a8_0000016 240.4 251.2 
