POI: 			Melissa_Leo 
Youtube ID: 	3uNEf8wV728 
Video length: 	1945.1 sec 
Set (V): 		dev 
 
Melissa_Leo/3uNEf8wV728_0000001 25.1 31.2 
Melissa_Leo/3uNEf8wV728_0000002 76.4 80.7 
Melissa_Leo/3uNEf8wV728_0000003 82.2 94.1 
Melissa_Leo/3uNEf8wV728_0000004 108.2 120.7 
Melissa_Leo/3uNEf8wV728_0000005 128.4 134.0 
Melissa_Leo/3uNEf8wV728_0000006 134.7 139.6 
Melissa_Leo/3uNEf8wV728_0000007 140.2 152.4 
Melissa_Leo/3uNEf8wV728_0000008 153.1 167.1 
Melissa_Leo/3uNEf8wV728_0000009 168.2 174.3 
Melissa_Leo/3uNEf8wV728_0000010 221.7 243.6 
Melissa_Leo/3uNEf8wV728_0000011 244.9 251.7 
Melissa_Leo/3uNEf8wV728_0000012 281.3 285.6 
Melissa_Leo/3uNEf8wV728_0000013 293.7 302.0 
Melissa_Leo/3uNEf8wV728_0000014 305.8 312.6 
Melissa_Leo/3uNEf8wV728_0000015 313.0 317.4 
Melissa_Leo/3uNEf8wV728_0000016 317.8 324.1 
Melissa_Leo/3uNEf8wV728_0000017 332.5 339.2 
Melissa_Leo/3uNEf8wV728_0000018 357.9 392.4 
Melissa_Leo/3uNEf8wV728_0000019 511.6 518.8 
Melissa_Leo/3uNEf8wV728_0000020 526.6 538.7 
Melissa_Leo/3uNEf8wV728_0000021 539.4 562.5 
Melissa_Leo/3uNEf8wV728_0000022 562.7 569.4 
Melissa_Leo/3uNEf8wV728_0000023 570.7 576.3 
Melissa_Leo/3uNEf8wV728_0000024 586.0 590.0 
Melissa_Leo/3uNEf8wV728_0000025 593.1 599.9 
Melissa_Leo/3uNEf8wV728_0000026 600.6 610.0 
Melissa_Leo/3uNEf8wV728_0000027 610.6 622.2 
Melissa_Leo/3uNEf8wV728_0000028 624.2 629.5 
Melissa_Leo/3uNEf8wV728_0000029 638.2 642.2 
Melissa_Leo/3uNEf8wV728_0000030 687.8 693.0 
Melissa_Leo/3uNEf8wV728_0000031 702.9 717.2 
Melissa_Leo/3uNEf8wV728_0000032 748.8 759.5 
Melissa_Leo/3uNEf8wV728_0000033 767.2 772.1 
Melissa_Leo/3uNEf8wV728_0000034 788.3 794.9 
Melissa_Leo/3uNEf8wV728_0000035 795.8 802.4 
Melissa_Leo/3uNEf8wV728_0000036 805.7 810.6 
Melissa_Leo/3uNEf8wV728_0000037 821.6 826.9 
Melissa_Leo/3uNEf8wV728_0000038 828.1 833.3 
Melissa_Leo/3uNEf8wV728_0000039 855.6 864.4 
Melissa_Leo/3uNEf8wV728_0000040 865.2 871.3 
Melissa_Leo/3uNEf8wV728_0000041 872.0 877.9 
Melissa_Leo/3uNEf8wV728_0000042 878.9 883.8 
Melissa_Leo/3uNEf8wV728_0000043 891.4 900.3 
Melissa_Leo/3uNEf8wV728_0000044 952.8 958.4 
Melissa_Leo/3uNEf8wV728_0000045 960.3 966.5 
Melissa_Leo/3uNEf8wV728_0000046 967.3 972.1 
Melissa_Leo/3uNEf8wV728_0000047 1197.8 1203.8 
Melissa_Leo/3uNEf8wV728_0000048 1204.5 1208.6 
Melissa_Leo/3uNEf8wV728_0000049 1218.9 1222.9 
Melissa_Leo/3uNEf8wV728_0000050 1228.2 1233.5 
Melissa_Leo/3uNEf8wV728_0000051 1241.9 1251.4 
Melissa_Leo/3uNEf8wV728_0000052 1255.2 1259.6 
Melissa_Leo/3uNEf8wV728_0000053 1259.8 1267.9 
Melissa_Leo/3uNEf8wV728_0000054 1273.7 1287.1 
Melissa_Leo/3uNEf8wV728_0000055 1288.1 1294.1 
Melissa_Leo/3uNEf8wV728_0000056 1294.8 1310.2 
Melissa_Leo/3uNEf8wV728_0000057 1310.5 1317.4 
Melissa_Leo/3uNEf8wV728_0000058 1318.7 1327.0 
Melissa_Leo/3uNEf8wV728_0000059 1327.8 1336.2 
Melissa_Leo/3uNEf8wV728_0000060 1348.6 1356.2 
Melissa_Leo/3uNEf8wV728_0000061 1365.4 1371.1 
Melissa_Leo/3uNEf8wV728_0000062 1381.8 1386.4 
Melissa_Leo/3uNEf8wV728_0000063 1390.9 1395.2 
Melissa_Leo/3uNEf8wV728_0000064 1395.3 1404.8 
Melissa_Leo/3uNEf8wV728_0000065 1405.6 1410.5 
Melissa_Leo/3uNEf8wV728_0000066 1426.5 1430.7 
Melissa_Leo/3uNEf8wV728_0000067 1433.0 1437.4 
Melissa_Leo/3uNEf8wV728_0000068 1449.2 1457.2 
Melissa_Leo/3uNEf8wV728_0000069 1457.8 1469.4 
Melissa_Leo/3uNEf8wV728_0000070 1472.5 1485.3 
Melissa_Leo/3uNEf8wV728_0000071 1486.3 1491.6 
Melissa_Leo/3uNEf8wV728_0000072 1523.6 1529.2 
Melissa_Leo/3uNEf8wV728_0000073 1546.8 1572.7 
Melissa_Leo/3uNEf8wV728_0000074 1587.4 1595.9 
Melissa_Leo/3uNEf8wV728_0000075 1598.7 1606.8 
Melissa_Leo/3uNEf8wV728_0000076 1607.9 1614.0 
Melissa_Leo/3uNEf8wV728_0000077 1621.4 1632.4 
Melissa_Leo/3uNEf8wV728_0000078 1639.2 1643.7 
Melissa_Leo/3uNEf8wV728_0000079 1665.5 1675.4 
Melissa_Leo/3uNEf8wV728_0000080 1677.9 1691.6 
Melissa_Leo/3uNEf8wV728_0000081 1692.5 1703.9 
Melissa_Leo/3uNEf8wV728_0000082 1739.9 1747.1 
Melissa_Leo/3uNEf8wV728_0000083 1753.4 1758.7 
Melissa_Leo/3uNEf8wV728_0000084 1764.9 1769.8 
Melissa_Leo/3uNEf8wV728_0000085 1861.3 1866.6 
Melissa_Leo/3uNEf8wV728_0000086 1866.7 1871.6 
Melissa_Leo/3uNEf8wV728_0000087 1897.1 1901.8 
Melissa_Leo/3uNEf8wV728_0000088 1921.6 1930.2 
Melissa_Leo/3uNEf8wV728_0000089 1931.0 1936.3 
Melissa_Leo/3uNEf8wV728_0000090 1936.6 1943.5 
