POI: 			Anne_Hathaway 
Youtube ID: 	9ULTOXn2tKY 
Video length: 	348.6 sec 
Set (V): 		dev 
 
Anne_Hathaway/9ULTOXn2tKY_0000001 59.2 66.7 
Anne_Hathaway/9ULTOXn2tKY_0000002 68.0 72.5 
Anne_Hathaway/9ULTOXn2tKY_0000003 92.3 107.4 
Anne_Hathaway/9ULTOXn2tKY_0000004 133.3 141.3 
Anne_Hathaway/9ULTOXn2tKY_0000005 148.9 169.7 
Anne_Hathaway/9ULTOXn2tKY_0000006 188.0 198.0 
Anne_Hathaway/9ULTOXn2tKY_0000007 212.2 217.9 
Anne_Hathaway/9ULTOXn2tKY_0000008 223.3 231.8 
Anne_Hathaway/9ULTOXn2tKY_0000009 241.9 248.8 
Anne_Hathaway/9ULTOXn2tKY_0000010 268.5 278.2 
Anne_Hathaway/9ULTOXn2tKY_0000011 283.9 289.7 
Anne_Hathaway/9ULTOXn2tKY_0000012 290.0 294.4 
Anne_Hathaway/9ULTOXn2tKY_0000013 296.4 301.6 
Anne_Hathaway/9ULTOXn2tKY_0000014 305.0 309.2 
Anne_Hathaway/9ULTOXn2tKY_0000015 315.2 321.1 
Anne_Hathaway/9ULTOXn2tKY_0000016 323.2 327.8 
