POI: 			Maria_de_Medeiros 
Youtube ID: 	_FqC1kkr5Dw 
Video length: 	495.0 sec 
Set (V): 		dev 
 
Maria_de_Medeiros/_FqC1kkr5Dw_0000001 49.0 53.2 
Maria_de_Medeiros/_FqC1kkr5Dw_0000002 53.8 60.8 
Maria_de_Medeiros/_FqC1kkr5Dw_0000003 63.0 68.3 
Maria_de_Medeiros/_FqC1kkr5Dw_0000004 78.7 83.6 
Maria_de_Medeiros/_FqC1kkr5Dw_0000005 196.2 202.1 
Maria_de_Medeiros/_FqC1kkr5Dw_0000006 233.3 240.9 
Maria_de_Medeiros/_FqC1kkr5Dw_0000007 246.4 252.9 
Maria_de_Medeiros/_FqC1kkr5Dw_0000008 259.0 263.4 
Maria_de_Medeiros/_FqC1kkr5Dw_0000009 252.0 257.7 
Maria_de_Medeiros/_FqC1kkr5Dw_0000010 258.8 263.4 
Maria_de_Medeiros/_FqC1kkr5Dw_0000011 299.8 306.7 
Maria_de_Medeiros/_FqC1kkr5Dw_0000012 349.9 356.4 
Maria_de_Medeiros/_FqC1kkr5Dw_0000013 368.0 373.4 
Maria_de_Medeiros/_FqC1kkr5Dw_0000014 382.8 389.6 
Maria_de_Medeiros/_FqC1kkr5Dw_0000015 407.6 412.2 
Maria_de_Medeiros/_FqC1kkr5Dw_0000016 415.5 421.6 
Maria_de_Medeiros/_FqC1kkr5Dw_0000017 430.9 435.9 
Maria_de_Medeiros/_FqC1kkr5Dw_0000018 439.6 446.5 
Maria_de_Medeiros/_FqC1kkr5Dw_0000019 446.8 453.2 
