POI: 			James_Marsden 
Youtube ID: 	jWWsJmK7z9c 
Video length: 	1428.9 sec 
Set (V): 		dev 
 
James_Marsden/jWWsJmK7z9c_0000001 104.6 108.8 
James_Marsden/jWWsJmK7z9c_0000002 127.9 134.8 
James_Marsden/jWWsJmK7z9c_0000003 204.1 209.0 
James_Marsden/jWWsJmK7z9c_0000004 218.1 232.2 
James_Marsden/jWWsJmK7z9c_0000005 232.4 236.3 
James_Marsden/jWWsJmK7z9c_0000006 237.3 242.7 
James_Marsden/jWWsJmK7z9c_0000007 264.6 300.4 
James_Marsden/jWWsJmK7z9c_0000008 301.2 306.1 
James_Marsden/jWWsJmK7z9c_0000009 312.3 318.9 
James_Marsden/jWWsJmK7z9c_0000010 319.4 323.6 
James_Marsden/jWWsJmK7z9c_0000011 345.4 353.0 
James_Marsden/jWWsJmK7z9c_0000012 400.0 410.6 
James_Marsden/jWWsJmK7z9c_0000013 419.0 424.5 
James_Marsden/jWWsJmK7z9c_0000014 526.4 533.5 
James_Marsden/jWWsJmK7z9c_0000015 541.2 548.2 
James_Marsden/jWWsJmK7z9c_0000016 573.8 583.6 
James_Marsden/jWWsJmK7z9c_0000017 583.9 591.4 
James_Marsden/jWWsJmK7z9c_0000018 593.4 600.0 
James_Marsden/jWWsJmK7z9c_0000019 615.7 620.5 
James_Marsden/jWWsJmK7z9c_0000020 624.6 630.9 
James_Marsden/jWWsJmK7z9c_0000021 633.4 649.1 
James_Marsden/jWWsJmK7z9c_0000022 664.8 675.6 
James_Marsden/jWWsJmK7z9c_0000023 676.0 684.1 
James_Marsden/jWWsJmK7z9c_0000024 712.7 720.1 
James_Marsden/jWWsJmK7z9c_0000025 721.4 736.7 
James_Marsden/jWWsJmK7z9c_0000026 745.5 753.4 
James_Marsden/jWWsJmK7z9c_0000027 759.6 770.1 
James_Marsden/jWWsJmK7z9c_0000028 793.8 802.7 
James_Marsden/jWWsJmK7z9c_0000029 814.0 820.3 
James_Marsden/jWWsJmK7z9c_0000030 823.9 829.0 
James_Marsden/jWWsJmK7z9c_0000031 839.4 856.7 
James_Marsden/jWWsJmK7z9c_0000032 871.3 876.8 
James_Marsden/jWWsJmK7z9c_0000033 880.6 888.9 
James_Marsden/jWWsJmK7z9c_0000034 901.0 905.8 
James_Marsden/jWWsJmK7z9c_0000035 1340.7 1345.2 
James_Marsden/jWWsJmK7z9c_0000036 1350.0 1355.6 
James_Marsden/jWWsJmK7z9c_0000037 1356.0 1377.8 
James_Marsden/jWWsJmK7z9c_0000038 1387.9 1394.2 
James_Marsden/jWWsJmK7z9c_0000039 1395.4 1401.8 
James_Marsden/jWWsJmK7z9c_0000040 1411.2 1415.2 
James_Marsden/jWWsJmK7z9c_0000041 1419.6 1425.4 
James_Marsden/jWWsJmK7z9c_0000042 1404.5 1408.5 
James_Marsden/jWWsJmK7z9c_0000043 1411.6 1416.6 
James_Marsden/jWWsJmK7z9c_0000044 1418.8 1424.7 
