POI: 			James_Marsden 
Youtube ID: 	3ZI6hCHBeZ0 
Video length: 	1645.1 sec 
Set (V): 		dev 
 
James_Marsden/3ZI6hCHBeZ0_0000001 23.8 30.6 
James_Marsden/3ZI6hCHBeZ0_0000002 78.0 84.0 
James_Marsden/3ZI6hCHBeZ0_0000003 135.2 140.2 
James_Marsden/3ZI6hCHBeZ0_0000004 141.7 158.0 
James_Marsden/3ZI6hCHBeZ0_0000005 167.6 173.4 
James_Marsden/3ZI6hCHBeZ0_0000006 174.9 180.0 
James_Marsden/3ZI6hCHBeZ0_0000007 180.8 190.2 
James_Marsden/3ZI6hCHBeZ0_0000008 329.8 335.1 
James_Marsden/3ZI6hCHBeZ0_0000009 338.3 343.0 
James_Marsden/3ZI6hCHBeZ0_0000010 351.7 356.0 
James_Marsden/3ZI6hCHBeZ0_0000011 360.4 364.3 
James_Marsden/3ZI6hCHBeZ0_0000012 367.1 372.8 
James_Marsden/3ZI6hCHBeZ0_0000013 373.1 380.4 
James_Marsden/3ZI6hCHBeZ0_0000014 384.3 392.7 
James_Marsden/3ZI6hCHBeZ0_0000015 433.8 438.0 
James_Marsden/3ZI6hCHBeZ0_0000016 438.9 445.1 
James_Marsden/3ZI6hCHBeZ0_0000017 445.2 450.2 
James_Marsden/3ZI6hCHBeZ0_0000018 452.3 456.6 
James_Marsden/3ZI6hCHBeZ0_0000019 464.4 471.7 
James_Marsden/3ZI6hCHBeZ0_0000020 472.1 477.0 
James_Marsden/3ZI6hCHBeZ0_0000021 479.7 485.6 
James_Marsden/3ZI6hCHBeZ0_0000022 534.8 548.2 
James_Marsden/3ZI6hCHBeZ0_0000023 548.8 554.8 
James_Marsden/3ZI6hCHBeZ0_0000024 573.0 578.7 
James_Marsden/3ZI6hCHBeZ0_0000025 633.4 639.7 
James_Marsden/3ZI6hCHBeZ0_0000026 644.2 650.6 
James_Marsden/3ZI6hCHBeZ0_0000027 688.0 697.3 
James_Marsden/3ZI6hCHBeZ0_0000028 708.4 712.7 
James_Marsden/3ZI6hCHBeZ0_0000029 715.9 722.0 
James_Marsden/3ZI6hCHBeZ0_0000030 726.5 737.7 
James_Marsden/3ZI6hCHBeZ0_0000031 834.6 842.3 
James_Marsden/3ZI6hCHBeZ0_0000032 949.3 954.6 
James_Marsden/3ZI6hCHBeZ0_0000033 954.8 960.3 
James_Marsden/3ZI6hCHBeZ0_0000034 961.5 971.0 
James_Marsden/3ZI6hCHBeZ0_0000035 1065.8 1082.1 
James_Marsden/3ZI6hCHBeZ0_0000036 1091.6 1097.4 
James_Marsden/3ZI6hCHBeZ0_0000037 1168.1 1174.6 
James_Marsden/3ZI6hCHBeZ0_0000038 1201.6 1206.2 
James_Marsden/3ZI6hCHBeZ0_0000039 1208.5 1213.3 
James_Marsden/3ZI6hCHBeZ0_0000040 1251.1 1262.5 
James_Marsden/3ZI6hCHBeZ0_0000041 1262.7 1271.0 
James_Marsden/3ZI6hCHBeZ0_0000042 1271.6 1278.5 
James_Marsden/3ZI6hCHBeZ0_0000043 1285.2 1289.3 
James_Marsden/3ZI6hCHBeZ0_0000044 1257.1 1262.3 
James_Marsden/3ZI6hCHBeZ0_0000045 1282.0 1300.2 
James_Marsden/3ZI6hCHBeZ0_0000046 1306.0 1316.3 
James_Marsden/3ZI6hCHBeZ0_0000047 1324.5 1333.0 
James_Marsden/3ZI6hCHBeZ0_0000048 1337.1 1342.3 
James_Marsden/3ZI6hCHBeZ0_0000049 1343.9 1348.4 
James_Marsden/3ZI6hCHBeZ0_0000050 1345.7 1352.1 
James_Marsden/3ZI6hCHBeZ0_0000051 1404.4 1410.0 
James_Marsden/3ZI6hCHBeZ0_0000052 1419.6 1439.4 
James_Marsden/3ZI6hCHBeZ0_0000053 1456.1 1466.7 
James_Marsden/3ZI6hCHBeZ0_0000054 1470.3 1474.3 
James_Marsden/3ZI6hCHBeZ0_0000055 1493.1 1497.1 
James_Marsden/3ZI6hCHBeZ0_0000056 1573.6 1582.3 
James_Marsden/3ZI6hCHBeZ0_0000057 1586.6 1590.8 
James_Marsden/3ZI6hCHBeZ0_0000058 1593.0 1597.7 
