POI: 			Damian_Lewis 
Youtube ID: 	Tj3-XSDsjzQ 
Video length: 	293.2 sec 
Set (V): 		dev 
 
Damian_Lewis/Tj3-XSDsjzQ_0000001 19.4 36.2 
Damian_Lewis/Tj3-XSDsjzQ_0000002 36.9 51.6 
Damian_Lewis/Tj3-XSDsjzQ_0000003 53.8 57.9 
Damian_Lewis/Tj3-XSDsjzQ_0000004 79.0 86.9 
Damian_Lewis/Tj3-XSDsjzQ_0000005 94.6 104.4 
Damian_Lewis/Tj3-XSDsjzQ_0000006 105.8 116.2 
Damian_Lewis/Tj3-XSDsjzQ_0000007 148.8 154.6 
Damian_Lewis/Tj3-XSDsjzQ_0000008 155.8 162.0 
Damian_Lewis/Tj3-XSDsjzQ_0000009 163.9 168.1 
Damian_Lewis/Tj3-XSDsjzQ_0000010 177.0 182.7 
Damian_Lewis/Tj3-XSDsjzQ_0000011 187.0 191.0 
Damian_Lewis/Tj3-XSDsjzQ_0000012 195.3 199.5 
Damian_Lewis/Tj3-XSDsjzQ_0000013 201.2 205.5 
Damian_Lewis/Tj3-XSDsjzQ_0000014 206.0 213.0 
Damian_Lewis/Tj3-XSDsjzQ_0000015 214.4 222.2 
Damian_Lewis/Tj3-XSDsjzQ_0000016 222.8 228.2 
Damian_Lewis/Tj3-XSDsjzQ_0000017 230.2 240.5 
Damian_Lewis/Tj3-XSDsjzQ_0000018 242.9 267.8 
Damian_Lewis/Tj3-XSDsjzQ_0000019 268.2 272.9 
Damian_Lewis/Tj3-XSDsjzQ_0000020 278.9 286.4 
