POI: 			Chris_Colfer 
Youtube ID: 	T26GRTpBjUg 
Video length: 	1487.1 sec 
Set (V): 		dev 
 
Chris_Colfer/T26GRTpBjUg_0000001 243.4 252.4 
Chris_Colfer/T26GRTpBjUg_0000002 317.0 324.1 
Chris_Colfer/T26GRTpBjUg_0000003 355.8 363.9 
Chris_Colfer/T26GRTpBjUg_0000004 377.4 384.6 
Chris_Colfer/T26GRTpBjUg_0000005 466.2 471.5 
Chris_Colfer/T26GRTpBjUg_0000006 501.2 514.6 
Chris_Colfer/T26GRTpBjUg_0000007 725.8 731.8 
Chris_Colfer/T26GRTpBjUg_0000008 777.0 783.4 
Chris_Colfer/T26GRTpBjUg_0000009 840.6 848.3 
Chris_Colfer/T26GRTpBjUg_0000010 930.5 935.5 
Chris_Colfer/T26GRTpBjUg_0000011 1027.8 1033.1 
Chris_Colfer/T26GRTpBjUg_0000012 1034.1 1038.7 
Chris_Colfer/T26GRTpBjUg_0000013 1083.6 1092.0 
Chris_Colfer/T26GRTpBjUg_0000014 1092.3 1097.8 
Chris_Colfer/T26GRTpBjUg_0000015 1130.5 1137.7 
Chris_Colfer/T26GRTpBjUg_0000016 1202.1 1209.4 
Chris_Colfer/T26GRTpBjUg_0000017 1344.5 1351.5 
