POI: 			Cher 
Youtube ID: 	St7LYcFgis8 
Video length: 	2719.2 sec 
Set (V): 		dev 
 
Cher/St7LYcFgis8_0000001 381.5 386.2 
Cher/St7LYcFgis8_0000002 456.8 462.6 
Cher/St7LYcFgis8_0000003 473.1 477.3 
Cher/St7LYcFgis8_0000004 516.2 520.5 
Cher/St7LYcFgis8_0000005 567.4 571.8 
Cher/St7LYcFgis8_0000006 642.5 649.2 
Cher/St7LYcFgis8_0000007 666.6 672.1 
Cher/St7LYcFgis8_0000008 672.2 681.0 
Cher/St7LYcFgis8_0000009 751.0 758.2 
Cher/St7LYcFgis8_0000010 758.7 765.8 
Cher/St7LYcFgis8_0000011 774.5 780.0 
Cher/St7LYcFgis8_0000012 868.3 872.3 
Cher/St7LYcFgis8_0000013 994.4 999.4 
Cher/St7LYcFgis8_0000014 1041.1 1046.4 
Cher/St7LYcFgis8_0000015 1067.7 1072.0 
Cher/St7LYcFgis8_0000016 1086.3 1090.2 
Cher/St7LYcFgis8_0000017 1102.4 1108.2 
Cher/St7LYcFgis8_0000018 1112.4 1117.3 
Cher/St7LYcFgis8_0000019 1212.3 1217.1 
Cher/St7LYcFgis8_0000020 1680.0 1685.0 
Cher/St7LYcFgis8_0000021 1685.9 1692.7 
Cher/St7LYcFgis8_0000022 1693.4 1707.6 
Cher/St7LYcFgis8_0000023 1852.4 1857.9 
Cher/St7LYcFgis8_0000024 1858.1 1867.1 
Cher/St7LYcFgis8_0000025 1868.2 1874.5 
Cher/St7LYcFgis8_0000026 1905.8 1912.8 
Cher/St7LYcFgis8_0000027 1965.0 1976.4 
Cher/St7LYcFgis8_0000028 1981.4 1986.3 
Cher/St7LYcFgis8_0000029 1990.0 1998.6 
Cher/St7LYcFgis8_0000030 2004.3 2012.8 
Cher/St7LYcFgis8_0000031 2032.2 2037.2 
Cher/St7LYcFgis8_0000032 2064.2 2069.4 
Cher/St7LYcFgis8_0000033 2094.2 2098.6 
Cher/St7LYcFgis8_0000034 2107.8 2112.8 
Cher/St7LYcFgis8_0000035 2175.8 2180.8 
Cher/St7LYcFgis8_0000036 2190.5 2195.6 
Cher/St7LYcFgis8_0000037 2211.6 2225.4 
Cher/St7LYcFgis8_0000038 2241.3 2255.1 
Cher/St7LYcFgis8_0000039 2269.8 2274.2 
Cher/St7LYcFgis8_0000040 2275.3 2282.4 
Cher/St7LYcFgis8_0000041 2293.0 2298.0 
Cher/St7LYcFgis8_0000042 2306.3 2313.9 
Cher/St7LYcFgis8_0000043 2328.5 2340.4 
Cher/St7LYcFgis8_0000044 2379.2 2383.6 
Cher/St7LYcFgis8_0000045 2423.8 2429.3 
Cher/St7LYcFgis8_0000046 2464.2 2468.6 
Cher/St7LYcFgis8_0000047 2502.8 2506.8 
Cher/St7LYcFgis8_0000048 2511.8 2516.1 
Cher/St7LYcFgis8_0000049 2570.8 2576.8 
Cher/St7LYcFgis8_0000050 2578.1 2588.0 
Cher/St7LYcFgis8_0000051 2596.2 2601.0 
