POI: 			Cher 
Youtube ID: 	ZYSjkfQpMRg 
Video length: 	1595.8 sec 
Set (V): 		dev 
 
Cher/ZYSjkfQpMRg_0000001 80.2 88.6 
Cher/ZYSjkfQpMRg_0000002 88.7 93.2 
Cher/ZYSjkfQpMRg_0000003 101.8 108.7 
Cher/ZYSjkfQpMRg_0000004 125.1 130.6 
Cher/ZYSjkfQpMRg_0000005 132.7 143.6 
Cher/ZYSjkfQpMRg_0000006 138.8 144.3 
Cher/ZYSjkfQpMRg_0000007 178.6 184.0 
Cher/ZYSjkfQpMRg_0000008 258.7 275.0 
Cher/ZYSjkfQpMRg_0000009 276.3 287.0 
Cher/ZYSjkfQpMRg_0000010 287.4 303.0 
Cher/ZYSjkfQpMRg_0000011 335.8 341.7 
Cher/ZYSjkfQpMRg_0000012 346.6 357.3 
Cher/ZYSjkfQpMRg_0000013 375.1 380.8 
Cher/ZYSjkfQpMRg_0000014 459.5 467.9 
Cher/ZYSjkfQpMRg_0000015 506.8 511.3 
Cher/ZYSjkfQpMRg_0000016 530.9 535.1 
Cher/ZYSjkfQpMRg_0000017 550.3 555.4 
Cher/ZYSjkfQpMRg_0000018 556.9 561.8 
Cher/ZYSjkfQpMRg_0000019 598.7 606.7 
Cher/ZYSjkfQpMRg_0000020 598.7 606.8 
Cher/ZYSjkfQpMRg_0000021 629.3 634.0 
Cher/ZYSjkfQpMRg_0000022 658.6 666.7 
Cher/ZYSjkfQpMRg_0000023 798.8 803.6 
Cher/ZYSjkfQpMRg_0000024 872.7 878.3 
Cher/ZYSjkfQpMRg_0000025 948.5 953.2 
Cher/ZYSjkfQpMRg_0000026 972.0 982.6 
Cher/ZYSjkfQpMRg_0000027 984.4 988.4 
Cher/ZYSjkfQpMRg_0000028 995.0 1002.8 
Cher/ZYSjkfQpMRg_0000029 1008.5 1020.2 
Cher/ZYSjkfQpMRg_0000030 1070.7 1077.7 
Cher/ZYSjkfQpMRg_0000031 1117.6 1125.0 
Cher/ZYSjkfQpMRg_0000032 1125.7 1130.2 
Cher/ZYSjkfQpMRg_0000033 1170.7 1181.2 
Cher/ZYSjkfQpMRg_0000034 1199.4 1204.9 
Cher/ZYSjkfQpMRg_0000035 1205.2 1212.4 
Cher/ZYSjkfQpMRg_0000036 1218.0 1223.7 
Cher/ZYSjkfQpMRg_0000037 1245.1 1254.0 
Cher/ZYSjkfQpMRg_0000038 1258.4 1263.3 
Cher/ZYSjkfQpMRg_0000039 1289.2 1303.1 
Cher/ZYSjkfQpMRg_0000040 1305.5 1310.4 
Cher/ZYSjkfQpMRg_0000041 1311.5 1316.2 
Cher/ZYSjkfQpMRg_0000042 1316.9 1322.5 
Cher/ZYSjkfQpMRg_0000043 1346.0 1354.6 
Cher/ZYSjkfQpMRg_0000044 1356.4 1364.4 
Cher/ZYSjkfQpMRg_0000045 1354.6 1364.5 
Cher/ZYSjkfQpMRg_0000046 1380.8 1384.8 
Cher/ZYSjkfQpMRg_0000047 1480.4 1485.8 
Cher/ZYSjkfQpMRg_0000048 1495.4 1501.4 
