POI: 			Melissa_McCarthy 
Youtube ID: 	ZMun86QSYJU 
Video length: 	301.7 sec 
Set (V): 		dev 
 
Melissa_McCarthy/ZMun86QSYJU_0000001 20.0 30.7 
Melissa_McCarthy/ZMun86QSYJU_0000002 31.0 41.4 
Melissa_McCarthy/ZMun86QSYJU_0000003 41.9 61.3 
Melissa_McCarthy/ZMun86QSYJU_0000004 61.8 73.8 
Melissa_McCarthy/ZMun86QSYJU_0000005 82.0 87.2 
Melissa_McCarthy/ZMun86QSYJU_0000006 88.8 93.8 
Melissa_McCarthy/ZMun86QSYJU_0000007 96.8 105.1 
Melissa_McCarthy/ZMun86QSYJU_0000008 106.3 119.6 
Melissa_McCarthy/ZMun86QSYJU_0000009 121.5 128.5 
Melissa_McCarthy/ZMun86QSYJU_0000010 131.1 140.2 
Melissa_McCarthy/ZMun86QSYJU_0000011 144.1 158.7 
Melissa_McCarthy/ZMun86QSYJU_0000012 160.5 167.4 
Melissa_McCarthy/ZMun86QSYJU_0000013 176.4 184.8 
Melissa_McCarthy/ZMun86QSYJU_0000014 186.6 190.7 
Melissa_McCarthy/ZMun86QSYJU_0000015 191.2 198.0 
Melissa_McCarthy/ZMun86QSYJU_0000016 199.0 205.8 
Melissa_McCarthy/ZMun86QSYJU_0000017 207.6 221.6 
Melissa_McCarthy/ZMun86QSYJU_0000018 231.7 242.0 
Melissa_McCarthy/ZMun86QSYJU_0000019 260.3 282.3 
Melissa_McCarthy/ZMun86QSYJU_0000020 282.8 290.2 
Melissa_McCarthy/ZMun86QSYJU_0000021 292.3 299.2 
