POI: 			Melissa_McCarthy 
Youtube ID: 	OB8jujAZZag 
Video length: 	371.9 sec 
Set (V): 		dev 
 
Melissa_McCarthy/OB8jujAZZag_0000001 04.4 27.4 
Melissa_McCarthy/OB8jujAZZag_0000002 35.8 57.9 
Melissa_McCarthy/OB8jujAZZag_0000003 59.8 66.9 
Melissa_McCarthy/OB8jujAZZag_0000004 68.2 72.4 
Melissa_McCarthy/OB8jujAZZag_0000005 73.7 81.4 
Melissa_McCarthy/OB8jujAZZag_0000006 82.4 88.4 
Melissa_McCarthy/OB8jujAZZag_0000007 93.6 99.7 
Melissa_McCarthy/OB8jujAZZag_0000008 109.6 127.3 
Melissa_McCarthy/OB8jujAZZag_0000009 127.9 133.9 
Melissa_McCarthy/OB8jujAZZag_0000010 138.1 149.7 
Melissa_McCarthy/OB8jujAZZag_0000011 152.0 166.1 
Melissa_McCarthy/OB8jujAZZag_0000012 167.5 172.8 
Melissa_McCarthy/OB8jujAZZag_0000013 173.6 178.9 
Melissa_McCarthy/OB8jujAZZag_0000014 184.4 189.6 
Melissa_McCarthy/OB8jujAZZag_0000015 191.6 197.2 
Melissa_McCarthy/OB8jujAZZag_0000016 197.5 204.5 
Melissa_McCarthy/OB8jujAZZag_0000017 210.9 221.3 
Melissa_McCarthy/OB8jujAZZag_0000018 221.4 226.8 
Melissa_McCarthy/OB8jujAZZag_0000019 228.9 237.2 
Melissa_McCarthy/OB8jujAZZag_0000020 238.2 242.4 
Melissa_McCarthy/OB8jujAZZag_0000021 257.6 264.9 
Melissa_McCarthy/OB8jujAZZag_0000022 270.6 303.8 
Melissa_McCarthy/OB8jujAZZag_0000023 304.2 318.7 
Melissa_McCarthy/OB8jujAZZag_0000024 334.0 347.6 
Melissa_McCarthy/OB8jujAZZag_0000025 350.7 354.9 
Melissa_McCarthy/OB8jujAZZag_0000026 356.0 363.0 
Melissa_McCarthy/OB8jujAZZag_0000027 363.4 369.4 
