POI: 			Heike_Makatsch 
Youtube ID: 	ErZpL8kN1TY 
Video length: 	444.2 sec 
Set (V): 		dev 
 
Heike_Makatsch/ErZpL8kN1TY_0000001 14.3 25.3 
Heike_Makatsch/ErZpL8kN1TY_0000002 26.4 32.7 
Heike_Makatsch/ErZpL8kN1TY_0000003 35.2 40.4 
Heike_Makatsch/ErZpL8kN1TY_0000004 41.4 45.6 
Heike_Makatsch/ErZpL8kN1TY_0000005 79.5 92.8 
Heike_Makatsch/ErZpL8kN1TY_0000006 133.6 145.5 
Heike_Makatsch/ErZpL8kN1TY_0000007 168.4 176.0 
Heike_Makatsch/ErZpL8kN1TY_0000008 176.8 181.1 
Heike_Makatsch/ErZpL8kN1TY_0000009 232.8 237.9 
Heike_Makatsch/ErZpL8kN1TY_0000010 243.6 251.6 
Heike_Makatsch/ErZpL8kN1TY_0000011 258.8 264.7 
Heike_Makatsch/ErZpL8kN1TY_0000012 266.1 272.8 
Heike_Makatsch/ErZpL8kN1TY_0000013 266.0 274.9 
Heike_Makatsch/ErZpL8kN1TY_0000014 275.9 286.2 
Heike_Makatsch/ErZpL8kN1TY_0000015 288.4 294.0 
Heike_Makatsch/ErZpL8kN1TY_0000016 296.2 300.3 
Heike_Makatsch/ErZpL8kN1TY_0000017 323.2 329.2 
Heike_Makatsch/ErZpL8kN1TY_0000018 351.2 358.8 
Heike_Makatsch/ErZpL8kN1TY_0000019 368.8 374.6 
Heike_Makatsch/ErZpL8kN1TY_0000020 426.2 430.4 
Heike_Makatsch/ErZpL8kN1TY_0000021 431.4 435.6 
