POI: 			Marion_Ross 
Youtube ID: 	08755wOq7aM 
Video length: 	1352.5 sec 
Set (V): 		dev 
 
Marion_Ross/08755wOq7aM_0000001 26.5 37.9 
Marion_Ross/08755wOq7aM_0000002 42.9 47.3 
Marion_Ross/08755wOq7aM_0000003 50.4 57.2 
Marion_Ross/08755wOq7aM_0000004 86.8 92.0 
Marion_Ross/08755wOq7aM_0000005 94.2 101.2 
Marion_Ross/08755wOq7aM_0000006 103.4 108.7 
Marion_Ross/08755wOq7aM_0000007 177.3 181.8 
Marion_Ross/08755wOq7aM_0000008 182.8 187.6 
Marion_Ross/08755wOq7aM_0000009 193.0 198.3 
Marion_Ross/08755wOq7aM_0000010 199.1 205.5 
Marion_Ross/08755wOq7aM_0000011 235.4 246.6 
Marion_Ross/08755wOq7aM_0000012 276.8 285.7 
Marion_Ross/08755wOq7aM_0000013 290.2 296.0 
Marion_Ross/08755wOq7aM_0000014 302.0 307.9 
Marion_Ross/08755wOq7aM_0000015 351.4 370.8 
Marion_Ross/08755wOq7aM_0000016 423.6 428.9 
Marion_Ross/08755wOq7aM_0000017 441.0 446.1 
Marion_Ross/08755wOq7aM_0000018 447.0 452.8 
Marion_Ross/08755wOq7aM_0000019 467.9 481.4 
Marion_Ross/08755wOq7aM_0000020 482.7 490.3 
Marion_Ross/08755wOq7aM_0000021 501.2 506.0 
Marion_Ross/08755wOq7aM_0000022 508.5 513.7 
Marion_Ross/08755wOq7aM_0000023 527.0 534.4 
Marion_Ross/08755wOq7aM_0000024 544.2 551.1 
Marion_Ross/08755wOq7aM_0000025 552.2 559.2 
Marion_Ross/08755wOq7aM_0000026 574.5 579.4 
Marion_Ross/08755wOq7aM_0000027 581.8 591.8 
Marion_Ross/08755wOq7aM_0000028 595.8 603.1 
Marion_Ross/08755wOq7aM_0000029 609.6 615.1 
Marion_Ross/08755wOq7aM_0000030 703.5 709.4 
Marion_Ross/08755wOq7aM_0000031 723.5 730.4 
Marion_Ross/08755wOq7aM_0000032 732.2 736.8 
Marion_Ross/08755wOq7aM_0000033 737.2 746.4 
Marion_Ross/08755wOq7aM_0000034 759.8 764.0 
Marion_Ross/08755wOq7aM_0000035 769.6 778.0 
Marion_Ross/08755wOq7aM_0000036 778.8 783.1 
Marion_Ross/08755wOq7aM_0000037 800.2 808.5 
Marion_Ross/08755wOq7aM_0000038 832.7 837.0 
Marion_Ross/08755wOq7aM_0000039 859.6 863.6 
Marion_Ross/08755wOq7aM_0000040 877.2 885.7 
Marion_Ross/08755wOq7aM_0000041 885.9 891.2 
Marion_Ross/08755wOq7aM_0000042 915.1 920.1 
Marion_Ross/08755wOq7aM_0000043 938.0 942.4 
Marion_Ross/08755wOq7aM_0000044 955.6 961.2 
Marion_Ross/08755wOq7aM_0000045 998.0 1002.5 
Marion_Ross/08755wOq7aM_0000046 1031.9 1037.4 
Marion_Ross/08755wOq7aM_0000047 1037.6 1046.8 
Marion_Ross/08755wOq7aM_0000048 1047.4 1054.8 
Marion_Ross/08755wOq7aM_0000049 1057.0 1062.3 
Marion_Ross/08755wOq7aM_0000050 1088.9 1094.6 
Marion_Ross/08755wOq7aM_0000051 1143.1 1149.2 
Marion_Ross/08755wOq7aM_0000052 1157.9 1169.8 
Marion_Ross/08755wOq7aM_0000053 1172.0 1176.8 
Marion_Ross/08755wOq7aM_0000054 1197.0 1218.8 
Marion_Ross/08755wOq7aM_0000055 1219.4 1225.4 
Marion_Ross/08755wOq7aM_0000056 1236.1 1240.1 
Marion_Ross/08755wOq7aM_0000057 1297.7 1307.4 
Marion_Ross/08755wOq7aM_0000058 1318.4 1323.3 
