POI: 			Michael_Shannon 
Youtube ID: 	I5ZloXyoJeU 
Video length: 	3453.9 sec 
Set (V): 		dev 
 
Michael_Shannon/I5ZloXyoJeU_0000001 181.5 190.0 
Michael_Shannon/I5ZloXyoJeU_0000002 351.9 356.8 
Michael_Shannon/I5ZloXyoJeU_0000003 405.4 420.2 
Michael_Shannon/I5ZloXyoJeU_0000004 425.6 439.4 
Michael_Shannon/I5ZloXyoJeU_0000005 450.4 454.4 
Michael_Shannon/I5ZloXyoJeU_0000006 486.3 493.3 
Michael_Shannon/I5ZloXyoJeU_0000007 499.9 508.0 
Michael_Shannon/I5ZloXyoJeU_0000008 523.2 527.3 
Michael_Shannon/I5ZloXyoJeU_0000009 536.2 541.7 
Michael_Shannon/I5ZloXyoJeU_0000010 544.0 549.2 
Michael_Shannon/I5ZloXyoJeU_0000011 561.1 566.8 
Michael_Shannon/I5ZloXyoJeU_0000012 614.0 619.9 
Michael_Shannon/I5ZloXyoJeU_0000013 628.4 642.0 
Michael_Shannon/I5ZloXyoJeU_0000014 695.4 709.7 
Michael_Shannon/I5ZloXyoJeU_0000015 709.8 714.4 
Michael_Shannon/I5ZloXyoJeU_0000016 717.8 721.8 
Michael_Shannon/I5ZloXyoJeU_0000017 834.2 843.8 
Michael_Shannon/I5ZloXyoJeU_0000018 989.5 996.2 
Michael_Shannon/I5ZloXyoJeU_0000019 1020.2 1027.1 
Michael_Shannon/I5ZloXyoJeU_0000020 1087.0 1091.6 
Michael_Shannon/I5ZloXyoJeU_0000021 1131.8 1137.0 
Michael_Shannon/I5ZloXyoJeU_0000022 1273.8 1278.5 
Michael_Shannon/I5ZloXyoJeU_0000023 1293.7 1298.0 
Michael_Shannon/I5ZloXyoJeU_0000024 1321.7 1337.1 
Michael_Shannon/I5ZloXyoJeU_0000025 1352.5 1363.4 
Michael_Shannon/I5ZloXyoJeU_0000026 1363.9 1371.5 
Michael_Shannon/I5ZloXyoJeU_0000027 1450.2 1454.6 
Michael_Shannon/I5ZloXyoJeU_0000028 1461.7 1466.8 
Michael_Shannon/I5ZloXyoJeU_0000029 1472.8 1477.2 
Michael_Shannon/I5ZloXyoJeU_0000030 1486.8 1491.9 
Michael_Shannon/I5ZloXyoJeU_0000031 1498.3 1502.4 
Michael_Shannon/I5ZloXyoJeU_0000032 1534.9 1543.9 
Michael_Shannon/I5ZloXyoJeU_0000033 1678.7 1684.6 
Michael_Shannon/I5ZloXyoJeU_0000034 1735.4 1741.9 
Michael_Shannon/I5ZloXyoJeU_0000035 1743.0 1749.2 
Michael_Shannon/I5ZloXyoJeU_0000036 1799.0 1804.1 
Michael_Shannon/I5ZloXyoJeU_0000037 1839.7 1844.9 
Michael_Shannon/I5ZloXyoJeU_0000038 1846.6 1854.1 
Michael_Shannon/I5ZloXyoJeU_0000039 1940.2 1944.5 
Michael_Shannon/I5ZloXyoJeU_0000040 1946.6 1952.3 
Michael_Shannon/I5ZloXyoJeU_0000041 1998.4 2003.6 
Michael_Shannon/I5ZloXyoJeU_0000042 2031.4 2037.8 
Michael_Shannon/I5ZloXyoJeU_0000043 2099.3 2104.4 
Michael_Shannon/I5ZloXyoJeU_0000044 2106.8 2112.8 
Michael_Shannon/I5ZloXyoJeU_0000045 2136.2 2142.4 
Michael_Shannon/I5ZloXyoJeU_0000046 2155.7 2166.8 
Michael_Shannon/I5ZloXyoJeU_0000047 2184.7 2190.0 
Michael_Shannon/I5ZloXyoJeU_0000048 2219.4 2223.8 
Michael_Shannon/I5ZloXyoJeU_0000049 2317.0 2323.3 
Michael_Shannon/I5ZloXyoJeU_0000050 2339.0 2349.4 
Michael_Shannon/I5ZloXyoJeU_0000051 2351.9 2358.4 
Michael_Shannon/I5ZloXyoJeU_0000052 2372.7 2376.9 
