POI: 			Kenton_Duty 
Youtube ID: 	IN9F23Ly61s 
Video length: 	1166.4 sec 
Set (V): 		dev 
 
Kenton_Duty/IN9F23Ly61s_0000001 20.8 27.8 
Kenton_Duty/IN9F23Ly61s_0000002 65.4 69.8 
Kenton_Duty/IN9F23Ly61s_0000003 77.6 90.3 
Kenton_Duty/IN9F23Ly61s_0000004 103.0 107.2 
Kenton_Duty/IN9F23Ly61s_0000005 109.0 113.7 
Kenton_Duty/IN9F23Ly61s_0000006 123.2 128.0 
Kenton_Duty/IN9F23Ly61s_0000007 132.0 137.0 
Kenton_Duty/IN9F23Ly61s_0000008 150.7 156.8 
Kenton_Duty/IN9F23Ly61s_0000009 175.6 181.0 
Kenton_Duty/IN9F23Ly61s_0000010 216.2 225.2 
Kenton_Duty/IN9F23Ly61s_0000011 232.6 238.1 
Kenton_Duty/IN9F23Ly61s_0000012 271.8 277.0 
Kenton_Duty/IN9F23Ly61s_0000013 287.1 294.6 
Kenton_Duty/IN9F23Ly61s_0000014 303.9 309.1 
Kenton_Duty/IN9F23Ly61s_0000015 311.8 317.0 
Kenton_Duty/IN9F23Ly61s_0000016 321.2 325.8 
Kenton_Duty/IN9F23Ly61s_0000017 325.9 333.2 
Kenton_Duty/IN9F23Ly61s_0000018 363.4 368.7 
Kenton_Duty/IN9F23Ly61s_0000019 375.0 380.2 
Kenton_Duty/IN9F23Ly61s_0000020 380.7 388.8 
Kenton_Duty/IN9F23Ly61s_0000021 416.4 420.4 
Kenton_Duty/IN9F23Ly61s_0000022 428.5 432.5 
Kenton_Duty/IN9F23Ly61s_0000023 432.6 437.9 
Kenton_Duty/IN9F23Ly61s_0000024 448.6 452.7 
Kenton_Duty/IN9F23Ly61s_0000025 478.7 483.2 
Kenton_Duty/IN9F23Ly61s_0000026 484.6 490.4 
Kenton_Duty/IN9F23Ly61s_0000027 491.8 499.0 
Kenton_Duty/IN9F23Ly61s_0000028 505.5 510.5 
Kenton_Duty/IN9F23Ly61s_0000029 538.0 543.1 
Kenton_Duty/IN9F23Ly61s_0000030 560.2 567.4 
Kenton_Duty/IN9F23Ly61s_0000031 585.2 592.1 
Kenton_Duty/IN9F23Ly61s_0000032 610.8 616.8 
Kenton_Duty/IN9F23Ly61s_0000033 631.9 636.0 
Kenton_Duty/IN9F23Ly61s_0000034 639.6 643.9 
Kenton_Duty/IN9F23Ly61s_0000035 651.5 657.8 
Kenton_Duty/IN9F23Ly61s_0000036 662.8 666.8 
Kenton_Duty/IN9F23Ly61s_0000037 677.4 685.6 
Kenton_Duty/IN9F23Ly61s_0000038 691.3 696.3 
Kenton_Duty/IN9F23Ly61s_0000039 708.3 723.9 
Kenton_Duty/IN9F23Ly61s_0000040 740.9 745.6 
Kenton_Duty/IN9F23Ly61s_0000041 747.0 752.6 
Kenton_Duty/IN9F23Ly61s_0000042 753.2 758.1 
Kenton_Duty/IN9F23Ly61s_0000043 765.2 770.3 
Kenton_Duty/IN9F23Ly61s_0000044 775.4 785.2 
Kenton_Duty/IN9F23Ly61s_0000045 797.9 801.8 
Kenton_Duty/IN9F23Ly61s_0000046 821.3 829.7 
Kenton_Duty/IN9F23Ly61s_0000047 865.8 874.6 
Kenton_Duty/IN9F23Ly61s_0000048 909.3 915.0 
Kenton_Duty/IN9F23Ly61s_0000049 925.6 932.9 
Kenton_Duty/IN9F23Ly61s_0000050 945.4 950.8 
Kenton_Duty/IN9F23Ly61s_0000051 1063.5 1068.4 
Kenton_Duty/IN9F23Ly61s_0000052 1086.7 1091.2 
Kenton_Duty/IN9F23Ly61s_0000053 1120.2 1130.5 
Kenton_Duty/IN9F23Ly61s_0000054 1133.1 1141.5 
