POI: 			Paul_Sorvino 
Youtube ID: 	dINKWWFmMyo 
Video length: 	1134.7 sec 
Set (V): 		dev 
 
Paul_Sorvino/dINKWWFmMyo_0000001 66.7 71.2 
Paul_Sorvino/dINKWWFmMyo_0000002 77.2 85.9 
Paul_Sorvino/dINKWWFmMyo_0000003 86.6 99.2 
Paul_Sorvino/dINKWWFmMyo_0000004 99.3 121.6 
Paul_Sorvino/dINKWWFmMyo_0000005 122.4 142.4 
Paul_Sorvino/dINKWWFmMyo_0000006 155.7 159.9 
Paul_Sorvino/dINKWWFmMyo_0000007 172.5 179.3 
Paul_Sorvino/dINKWWFmMyo_0000008 180.7 197.8 
Paul_Sorvino/dINKWWFmMyo_0000009 198.5 211.4 
Paul_Sorvino/dINKWWFmMyo_0000010 213.8 221.7 
Paul_Sorvino/dINKWWFmMyo_0000011 222.8 230.5 
Paul_Sorvino/dINKWWFmMyo_0000012 168.2 172.2 
Paul_Sorvino/dINKWWFmMyo_0000013 172.5 182.6 
Paul_Sorvino/dINKWWFmMyo_0000014 237.5 241.5 
Paul_Sorvino/dINKWWFmMyo_0000015 243.5 262.4 
Paul_Sorvino/dINKWWFmMyo_0000016 268.8 274.0 
Paul_Sorvino/dINKWWFmMyo_0000017 308.6 315.1 
Paul_Sorvino/dINKWWFmMyo_0000018 316.1 333.0 
Paul_Sorvino/dINKWWFmMyo_0000019 343.9 351.6 
Paul_Sorvino/dINKWWFmMyo_0000020 352.1 361.3 
Paul_Sorvino/dINKWWFmMyo_0000021 383.4 407.9 
Paul_Sorvino/dINKWWFmMyo_0000022 408.5 412.9 
Paul_Sorvino/dINKWWFmMyo_0000023 418.7 422.8 
Paul_Sorvino/dINKWWFmMyo_0000024 432.3 436.9 
Paul_Sorvino/dINKWWFmMyo_0000025 441.9 458.0 
Paul_Sorvino/dINKWWFmMyo_0000026 468.1 479.8 
Paul_Sorvino/dINKWWFmMyo_0000027 480.8 493.5 
Paul_Sorvino/dINKWWFmMyo_0000028 494.7 503.0 
Paul_Sorvino/dINKWWFmMyo_0000029 519.0 549.7 
Paul_Sorvino/dINKWWFmMyo_0000030 554.3 566.5 
Paul_Sorvino/dINKWWFmMyo_0000031 579.5 584.6 
Paul_Sorvino/dINKWWFmMyo_0000032 597.9 603.2 
Paul_Sorvino/dINKWWFmMyo_0000033 605.2 613.6 
Paul_Sorvino/dINKWWFmMyo_0000034 616.5 621.4 
Paul_Sorvino/dINKWWFmMyo_0000035 622.5 668.4 
Paul_Sorvino/dINKWWFmMyo_0000036 672.7 678.5 
Paul_Sorvino/dINKWWFmMyo_0000037 690.3 710.5 
Paul_Sorvino/dINKWWFmMyo_0000038 711.4 716.2 
Paul_Sorvino/dINKWWFmMyo_0000039 721.1 731.0 
Paul_Sorvino/dINKWWFmMyo_0000040 733.4 746.2 
Paul_Sorvino/dINKWWFmMyo_0000041 753.4 762.5 
Paul_Sorvino/dINKWWFmMyo_0000042 765.7 775.3 
Paul_Sorvino/dINKWWFmMyo_0000043 797.5 807.2 
Paul_Sorvino/dINKWWFmMyo_0000044 816.6 832.2 
Paul_Sorvino/dINKWWFmMyo_0000045 834.7 846.0 
Paul_Sorvino/dINKWWFmMyo_0000046 882.4 890.0 
Paul_Sorvino/dINKWWFmMyo_0000047 891.3 925.4 
Paul_Sorvino/dINKWWFmMyo_0000048 934.1 938.3 
Paul_Sorvino/dINKWWFmMyo_0000049 941.3 945.6 
Paul_Sorvino/dINKWWFmMyo_0000050 957.2 961.6 
Paul_Sorvino/dINKWWFmMyo_0000051 962.8 977.1 
Paul_Sorvino/dINKWWFmMyo_0000052 983.8 988.2 
Paul_Sorvino/dINKWWFmMyo_0000053 997.3 1006.7 
Paul_Sorvino/dINKWWFmMyo_0000054 1017.6 1022.4 
Paul_Sorvino/dINKWWFmMyo_0000055 1031.1 1038.6 
Paul_Sorvino/dINKWWFmMyo_0000056 1063.4 1071.3 
Paul_Sorvino/dINKWWFmMyo_0000057 1079.3 1090.3 
Paul_Sorvino/dINKWWFmMyo_0000058 1118.7 1124.5 
