POI: 			Mark_Ruffalo 
Youtube ID: 	8Vye7dodGdA 
Video length: 	1775.7 sec 
Set (V): 		dev 
 
Mark_Ruffalo/8Vye7dodGdA_0000001 111.7 118.0 
Mark_Ruffalo/8Vye7dodGdA_0000002 139.5 151.3 
Mark_Ruffalo/8Vye7dodGdA_0000003 159.2 165.2 
Mark_Ruffalo/8Vye7dodGdA_0000004 175.8 183.9 
Mark_Ruffalo/8Vye7dodGdA_0000005 185.3 189.9 
Mark_Ruffalo/8Vye7dodGdA_0000006 212.8 221.5 
Mark_Ruffalo/8Vye7dodGdA_0000007 223.0 235.4 
Mark_Ruffalo/8Vye7dodGdA_0000008 243.3 248.1 
Mark_Ruffalo/8Vye7dodGdA_0000009 248.3 253.1 
Mark_Ruffalo/8Vye7dodGdA_0000010 287.7 293.6 
Mark_Ruffalo/8Vye7dodGdA_0000011 433.4 442.9 
Mark_Ruffalo/8Vye7dodGdA_0000012 488.5 494.5 
Mark_Ruffalo/8Vye7dodGdA_0000013 495.9 501.4 
Mark_Ruffalo/8Vye7dodGdA_0000014 586.9 593.4 
Mark_Ruffalo/8Vye7dodGdA_0000015 598.4 604.6 
Mark_Ruffalo/8Vye7dodGdA_0000016 613.0 622.2 
Mark_Ruffalo/8Vye7dodGdA_0000017 775.4 779.4 
Mark_Ruffalo/8Vye7dodGdA_0000018 1141.6 1147.3 
Mark_Ruffalo/8Vye7dodGdA_0000019 1168.0 1174.9 
Mark_Ruffalo/8Vye7dodGdA_0000020 1179.7 1187.4 
Mark_Ruffalo/8Vye7dodGdA_0000021 1189.5 1195.3 
Mark_Ruffalo/8Vye7dodGdA_0000022 1223.6 1228.7 
Mark_Ruffalo/8Vye7dodGdA_0000023 1254.0 1258.0 
Mark_Ruffalo/8Vye7dodGdA_0000024 1258.4 1263.5 
Mark_Ruffalo/8Vye7dodGdA_0000025 1555.5 1560.0 
