POI: 			Mark_Ruffalo 
Youtube ID: 	TKQ2eU8u-TE 
Video length: 	3165.6 sec 
Set (V): 		dev 
 
Mark_Ruffalo/TKQ2eU8u-TE_0000001 235.8 240.4 
Mark_Ruffalo/TKQ2eU8u-TE_0000002 243.8 249.0 
Mark_Ruffalo/TKQ2eU8u-TE_0000003 321.8 326.2 
Mark_Ruffalo/TKQ2eU8u-TE_0000004 370.7 378.1 
Mark_Ruffalo/TKQ2eU8u-TE_0000005 422.5 426.9 
Mark_Ruffalo/TKQ2eU8u-TE_0000006 552.5 560.0 
Mark_Ruffalo/TKQ2eU8u-TE_0000007 583.7 592.5 
Mark_Ruffalo/TKQ2eU8u-TE_0000008 594.1 599.7 
Mark_Ruffalo/TKQ2eU8u-TE_0000009 600.4 605.3 
Mark_Ruffalo/TKQ2eU8u-TE_0000010 606.0 611.0 
Mark_Ruffalo/TKQ2eU8u-TE_0000011 611.1 616.8 
Mark_Ruffalo/TKQ2eU8u-TE_0000012 649.2 655.7 
Mark_Ruffalo/TKQ2eU8u-TE_0000013 681.8 685.8 
Mark_Ruffalo/TKQ2eU8u-TE_0000014 685.9 692.2 
Mark_Ruffalo/TKQ2eU8u-TE_0000015 696.4 701.0 
Mark_Ruffalo/TKQ2eU8u-TE_0000016 713.6 718.2 
Mark_Ruffalo/TKQ2eU8u-TE_0000017 787.4 794.5 
Mark_Ruffalo/TKQ2eU8u-TE_0000018 875.5 880.0 
Mark_Ruffalo/TKQ2eU8u-TE_0000019 894.8 899.1 
Mark_Ruffalo/TKQ2eU8u-TE_0000020 998.5 1006.9 
Mark_Ruffalo/TKQ2eU8u-TE_0000021 1008.0 1012.2 
Mark_Ruffalo/TKQ2eU8u-TE_0000022 1011.2 1015.6 
Mark_Ruffalo/TKQ2eU8u-TE_0000023 1032.9 1037.6 
Mark_Ruffalo/TKQ2eU8u-TE_0000024 1137.1 1143.1 
Mark_Ruffalo/TKQ2eU8u-TE_0000025 1146.3 1152.1 
Mark_Ruffalo/TKQ2eU8u-TE_0000026 1178.9 1183.2 
Mark_Ruffalo/TKQ2eU8u-TE_0000027 1222.7 1230.3 
Mark_Ruffalo/TKQ2eU8u-TE_0000028 1240.2 1248.4 
Mark_Ruffalo/TKQ2eU8u-TE_0000029 1284.4 1288.6 
Mark_Ruffalo/TKQ2eU8u-TE_0000030 1313.5 1318.8 
Mark_Ruffalo/TKQ2eU8u-TE_0000031 1327.2 1331.7 
Mark_Ruffalo/TKQ2eU8u-TE_0000032 1382.4 1387.0 
Mark_Ruffalo/TKQ2eU8u-TE_0000033 1397.5 1401.5 
Mark_Ruffalo/TKQ2eU8u-TE_0000034 1420.7 1428.4 
Mark_Ruffalo/TKQ2eU8u-TE_0000035 1483.9 1488.0 
Mark_Ruffalo/TKQ2eU8u-TE_0000036 1728.9 1733.7 
Mark_Ruffalo/TKQ2eU8u-TE_0000037 1827.7 1832.0 
Mark_Ruffalo/TKQ2eU8u-TE_0000038 1907.7 1916.0 
Mark_Ruffalo/TKQ2eU8u-TE_0000039 1919.5 1924.6 
Mark_Ruffalo/TKQ2eU8u-TE_0000040 1924.8 1929.2 
Mark_Ruffalo/TKQ2eU8u-TE_0000041 1935.0 1940.9 
Mark_Ruffalo/TKQ2eU8u-TE_0000042 2207.0 2211.4 
Mark_Ruffalo/TKQ2eU8u-TE_0000043 2225.2 2229.2 
Mark_Ruffalo/TKQ2eU8u-TE_0000044 2229.5 2234.4 
Mark_Ruffalo/TKQ2eU8u-TE_0000045 2241.8 2246.0 
Mark_Ruffalo/TKQ2eU8u-TE_0000046 2268.3 2272.8 
Mark_Ruffalo/TKQ2eU8u-TE_0000047 2281.2 2289.9 
Mark_Ruffalo/TKQ2eU8u-TE_0000048 2400.8 2408.7 
Mark_Ruffalo/TKQ2eU8u-TE_0000049 2713.4 2717.5 
Mark_Ruffalo/TKQ2eU8u-TE_0000050 2762.6 2768.3 
Mark_Ruffalo/TKQ2eU8u-TE_0000051 2872.5 2877.0 
Mark_Ruffalo/TKQ2eU8u-TE_0000052 2882.2 2888.2 
Mark_Ruffalo/TKQ2eU8u-TE_0000053 2975.2 2979.9 
Mark_Ruffalo/TKQ2eU8u-TE_0000054 2997.0 3003.0 
Mark_Ruffalo/TKQ2eU8u-TE_0000055 3050.4 3057.6 
Mark_Ruffalo/TKQ2eU8u-TE_0000056 3117.2 3122.8 
