POI: 			Ang_Lee 
Youtube ID: 	qM5FO3hHEbk 
Video length: 	3227.6 sec 
Set (V): 		dev 
 
Ang_Lee/qM5FO3hHEbk_0000001 209.6 219.2 
Ang_Lee/qM5FO3hHEbk_0000002 223.8 230.3 
Ang_Lee/qM5FO3hHEbk_0000003 234.2 240.5 
Ang_Lee/qM5FO3hHEbk_0000004 303.4 307.8 
Ang_Lee/qM5FO3hHEbk_0000005 364.1 368.8 
Ang_Lee/qM5FO3hHEbk_0000006 391.6 398.9 
Ang_Lee/qM5FO3hHEbk_0000007 404.2 409.1 
Ang_Lee/qM5FO3hHEbk_0000008 418.0 427.5 
Ang_Lee/qM5FO3hHEbk_0000009 434.2 444.9 
Ang_Lee/qM5FO3hHEbk_0000010 445.4 450.2 
Ang_Lee/qM5FO3hHEbk_0000011 453.6 471.3 
Ang_Lee/qM5FO3hHEbk_0000012 511.6 516.3 
Ang_Lee/qM5FO3hHEbk_0000013 541.2 546.2 
Ang_Lee/qM5FO3hHEbk_0000014 603.5 609.4 
Ang_Lee/qM5FO3hHEbk_0000015 610.2 617.6 
Ang_Lee/qM5FO3hHEbk_0000016 622.0 626.0 
Ang_Lee/qM5FO3hHEbk_0000017 638.8 645.1 
Ang_Lee/qM5FO3hHEbk_0000018 704.7 709.4 
Ang_Lee/qM5FO3hHEbk_0000019 749.8 754.5 
Ang_Lee/qM5FO3hHEbk_0000020 801.7 805.7 
Ang_Lee/qM5FO3hHEbk_0000021 886.8 892.6 
Ang_Lee/qM5FO3hHEbk_0000022 932.4 936.9 
Ang_Lee/qM5FO3hHEbk_0000023 1023.4 1028.1 
Ang_Lee/qM5FO3hHEbk_0000024 1054.8 1061.5 
Ang_Lee/qM5FO3hHEbk_0000025 1066.8 1075.4 
Ang_Lee/qM5FO3hHEbk_0000026 1116.8 1122.8 
Ang_Lee/qM5FO3hHEbk_0000027 1139.6 1144.9 
Ang_Lee/qM5FO3hHEbk_0000028 1147.7 1151.8 
Ang_Lee/qM5FO3hHEbk_0000029 1197.5 1203.1 
Ang_Lee/qM5FO3hHEbk_0000030 1221.8 1225.9 
Ang_Lee/qM5FO3hHEbk_0000031 1245.5 1250.1 
Ang_Lee/qM5FO3hHEbk_0000032 1296.9 1302.9 
Ang_Lee/qM5FO3hHEbk_0000033 1311.0 1317.3 
Ang_Lee/qM5FO3hHEbk_0000034 1373.7 1377.8 
Ang_Lee/qM5FO3hHEbk_0000035 1394.6 1399.1 
Ang_Lee/qM5FO3hHEbk_0000036 1408.8 1421.8 
Ang_Lee/qM5FO3hHEbk_0000037 1422.3 1427.3 
Ang_Lee/qM5FO3hHEbk_0000038 1436.1 1443.7 
Ang_Lee/qM5FO3hHEbk_0000039 1501.0 1505.1 
Ang_Lee/qM5FO3hHEbk_0000040 1582.5 1586.9 
Ang_Lee/qM5FO3hHEbk_0000041 1651.4 1657.0 
Ang_Lee/qM5FO3hHEbk_0000042 1658.8 1663.0 
Ang_Lee/qM5FO3hHEbk_0000043 1680.0 1688.0 
Ang_Lee/qM5FO3hHEbk_0000044 1690.2 1697.0 
Ang_Lee/qM5FO3hHEbk_0000045 1800.6 1805.1 
Ang_Lee/qM5FO3hHEbk_0000046 1810.9 1815.8 
