POI: 			Maria_Sharapova 
Youtube ID: 	rWaBVelzaFk 
Video length: 	2048.2 sec 
Set (V): 		dev 
 
Maria_Sharapova/rWaBVelzaFk_0000001 91.0 96.1 
Maria_Sharapova/rWaBVelzaFk_0000002 102.7 106.6 
Maria_Sharapova/rWaBVelzaFk_0000003 97.3 103.4 
Maria_Sharapova/rWaBVelzaFk_0000004 194.4 198.8 
Maria_Sharapova/rWaBVelzaFk_0000005 200.8 206.4 
Maria_Sharapova/rWaBVelzaFk_0000006 206.7 212.8 
Maria_Sharapova/rWaBVelzaFk_0000007 213.3 227.0 
Maria_Sharapova/rWaBVelzaFk_0000008 354.6 358.8 
Maria_Sharapova/rWaBVelzaFk_0000009 371.2 389.7 
Maria_Sharapova/rWaBVelzaFk_0000010 414.4 422.8 
Maria_Sharapova/rWaBVelzaFk_0000011 424.6 430.0 
Maria_Sharapova/rWaBVelzaFk_0000012 531.0 535.1 
Maria_Sharapova/rWaBVelzaFk_0000013 610.2 623.2 
Maria_Sharapova/rWaBVelzaFk_0000014 639.2 649.2 
Maria_Sharapova/rWaBVelzaFk_0000015 653.4 658.0 
Maria_Sharapova/rWaBVelzaFk_0000016 658.8 667.6 
Maria_Sharapova/rWaBVelzaFk_0000017 668.0 673.8 
Maria_Sharapova/rWaBVelzaFk_0000018 859.3 864.6 
Maria_Sharapova/rWaBVelzaFk_0000019 929.7 952.3 
Maria_Sharapova/rWaBVelzaFk_0000020 953.0 960.1 
Maria_Sharapova/rWaBVelzaFk_0000021 969.6 980.8 
Maria_Sharapova/rWaBVelzaFk_0000022 1047.5 1052.8 
Maria_Sharapova/rWaBVelzaFk_0000023 1059.2 1064.8 
Maria_Sharapova/rWaBVelzaFk_0000024 1067.4 1073.6 
Maria_Sharapova/rWaBVelzaFk_0000025 1108.4 1118.3 
Maria_Sharapova/rWaBVelzaFk_0000026 1120.9 1128.4 
Maria_Sharapova/rWaBVelzaFk_0000027 1167.7 1173.7 
Maria_Sharapova/rWaBVelzaFk_0000028 1177.5 1189.3 
Maria_Sharapova/rWaBVelzaFk_0000029 1191.5 1196.6 
Maria_Sharapova/rWaBVelzaFk_0000030 1199.8 1207.3 
Maria_Sharapova/rWaBVelzaFk_0000031 1264.8 1269.6 
Maria_Sharapova/rWaBVelzaFk_0000032 1269.9 1278.0 
Maria_Sharapova/rWaBVelzaFk_0000033 1284.5 1291.4 
Maria_Sharapova/rWaBVelzaFk_0000034 1319.1 1323.4 
Maria_Sharapova/rWaBVelzaFk_0000035 1337.2 1343.8 
Maria_Sharapova/rWaBVelzaFk_0000036 1352.6 1358.8 
Maria_Sharapova/rWaBVelzaFk_0000037 1362.1 1368.0 
Maria_Sharapova/rWaBVelzaFk_0000038 1404.3 1410.6 
Maria_Sharapova/rWaBVelzaFk_0000039 1493.6 1498.0 
Maria_Sharapova/rWaBVelzaFk_0000040 1558.4 1575.8 
Maria_Sharapova/rWaBVelzaFk_0000041 1628.1 1633.7 
Maria_Sharapova/rWaBVelzaFk_0000042 1823.8 1830.3 
Maria_Sharapova/rWaBVelzaFk_0000043 1833.4 1838.8 
Maria_Sharapova/rWaBVelzaFk_0000044 1843.7 1877.8 
Maria_Sharapova/rWaBVelzaFk_0000045 2009.2 2016.6 
Maria_Sharapova/rWaBVelzaFk_0000046 2018.1 2022.8 
