POI: 			Finola_Hughes 
Youtube ID: 	2haNggQJJMk 
Video length: 	515.4 sec 
Set (V): 		dev 
 
Finola_Hughes/2haNggQJJMk_0000001 31.4 38.9 
Finola_Hughes/2haNggQJJMk_0000002 44.1 61.3 
Finola_Hughes/2haNggQJJMk_0000003 61.7 66.8 
Finola_Hughes/2haNggQJJMk_0000004 83.6 93.6 
Finola_Hughes/2haNggQJJMk_0000005 93.9 102.9 
Finola_Hughes/2haNggQJJMk_0000006 103.8 108.6 
Finola_Hughes/2haNggQJJMk_0000007 130.2 151.6 
Finola_Hughes/2haNggQJJMk_0000008 152.4 161.0 
Finola_Hughes/2haNggQJJMk_0000009 198.0 204.0 
Finola_Hughes/2haNggQJJMk_0000010 216.3 224.1 
Finola_Hughes/2haNggQJJMk_0000011 253.8 266.0 
Finola_Hughes/2haNggQJJMk_0000012 345.5 352.5 
Finola_Hughes/2haNggQJJMk_0000013 353.0 358.6 
Finola_Hughes/2haNggQJJMk_0000014 363.5 378.0 
Finola_Hughes/2haNggQJJMk_0000015 423.0 435.0 
Finola_Hughes/2haNggQJJMk_0000016 438.1 459.6 
Finola_Hughes/2haNggQJJMk_0000017 460.3 464.6 
Finola_Hughes/2haNggQJJMk_0000018 465.9 474.9 
Finola_Hughes/2haNggQJJMk_0000019 484.1 500.0 
