POI: 			Richard_Kind 
Youtube ID: 	_FT16eQLFAc 
Video length: 	1541.5 sec 
Set (V): 		dev 
 
Richard_Kind/_FT16eQLFAc_0000001 141.7 146.4 
Richard_Kind/_FT16eQLFAc_0000002 152.3 157.7 
Richard_Kind/_FT16eQLFAc_0000003 317.8 336.0 
Richard_Kind/_FT16eQLFAc_0000004 338.9 351.2 
Richard_Kind/_FT16eQLFAc_0000005 595.7 600.2 
Richard_Kind/_FT16eQLFAc_0000006 813.4 819.9 
Richard_Kind/_FT16eQLFAc_0000007 1182.4 1187.4 
Richard_Kind/_FT16eQLFAc_0000008 1224.6 1234.8 
Richard_Kind/_FT16eQLFAc_0000009 1245.9 1250.2 
Richard_Kind/_FT16eQLFAc_0000010 1250.7 1258.2 
Richard_Kind/_FT16eQLFAc_0000011 1258.4 1263.1 
Richard_Kind/_FT16eQLFAc_0000012 1267.7 1292.1 
Richard_Kind/_FT16eQLFAc_0000013 1297.6 1306.9 
Richard_Kind/_FT16eQLFAc_0000014 1309.0 1318.4 
Richard_Kind/_FT16eQLFAc_0000015 1426.3 1433.9 
Richard_Kind/_FT16eQLFAc_0000016 1439.0 1443.0 
Richard_Kind/_FT16eQLFAc_0000017 1462.7 1467.8 
Richard_Kind/_FT16eQLFAc_0000018 1469.6 1475.2 
