POI: 			James_Cosmo 
Youtube ID: 	k_bHmp_qtFQ 
Video length: 	899.3 sec 
Set (V): 		dev 
 
James_Cosmo/k_bHmp_qtFQ_0000001 14.4 33.0 
James_Cosmo/k_bHmp_qtFQ_0000002 43.2 54.1 
James_Cosmo/k_bHmp_qtFQ_0000003 54.6 63.0 
James_Cosmo/k_bHmp_qtFQ_0000004 63.1 67.4 
James_Cosmo/k_bHmp_qtFQ_0000005 73.8 83.8 
James_Cosmo/k_bHmp_qtFQ_0000006 88.5 93.7 
James_Cosmo/k_bHmp_qtFQ_0000007 110.2 122.6 
James_Cosmo/k_bHmp_qtFQ_0000008 125.8 130.6 
James_Cosmo/k_bHmp_qtFQ_0000009 147.8 163.3 
James_Cosmo/k_bHmp_qtFQ_0000010 169.8 179.1 
James_Cosmo/k_bHmp_qtFQ_0000011 179.4 197.8 
James_Cosmo/k_bHmp_qtFQ_0000012 200.6 205.8 
James_Cosmo/k_bHmp_qtFQ_0000013 217.1 231.0 
James_Cosmo/k_bHmp_qtFQ_0000014 231.7 239.0 
James_Cosmo/k_bHmp_qtFQ_0000015 265.8 285.0 
James_Cosmo/k_bHmp_qtFQ_0000016 287.6 295.1 
James_Cosmo/k_bHmp_qtFQ_0000017 326.2 333.2 
James_Cosmo/k_bHmp_qtFQ_0000018 344.6 349.5 
James_Cosmo/k_bHmp_qtFQ_0000019 351.6 361.7 
James_Cosmo/k_bHmp_qtFQ_0000020 362.2 368.9 
James_Cosmo/k_bHmp_qtFQ_0000021 379.7 385.2 
James_Cosmo/k_bHmp_qtFQ_0000022 386.0 392.0 
James_Cosmo/k_bHmp_qtFQ_0000023 411.2 418.4 
James_Cosmo/k_bHmp_qtFQ_0000024 445.7 460.0 
James_Cosmo/k_bHmp_qtFQ_0000025 463.3 467.5 
James_Cosmo/k_bHmp_qtFQ_0000026 478.6 490.1 
James_Cosmo/k_bHmp_qtFQ_0000027 490.3 497.1 
James_Cosmo/k_bHmp_qtFQ_0000028 505.9 510.1 
James_Cosmo/k_bHmp_qtFQ_0000029 534.8 540.6 
James_Cosmo/k_bHmp_qtFQ_0000030 562.6 567.2 
James_Cosmo/k_bHmp_qtFQ_0000031 623.1 643.7 
James_Cosmo/k_bHmp_qtFQ_0000032 644.2 662.0 
James_Cosmo/k_bHmp_qtFQ_0000033 674.5 682.9 
James_Cosmo/k_bHmp_qtFQ_0000034 690.2 694.3 
James_Cosmo/k_bHmp_qtFQ_0000035 699.4 711.9 
James_Cosmo/k_bHmp_qtFQ_0000036 713.8 717.8 
James_Cosmo/k_bHmp_qtFQ_0000037 726.8 732.3 
James_Cosmo/k_bHmp_qtFQ_0000038 753.6 758.0 
James_Cosmo/k_bHmp_qtFQ_0000039 760.0 772.0 
James_Cosmo/k_bHmp_qtFQ_0000040 777.1 783.5 
James_Cosmo/k_bHmp_qtFQ_0000041 783.8 789.2 
James_Cosmo/k_bHmp_qtFQ_0000042 813.2 820.9 
James_Cosmo/k_bHmp_qtFQ_0000043 825.6 857.2 
James_Cosmo/k_bHmp_qtFQ_0000044 861.6 869.6 
James_Cosmo/k_bHmp_qtFQ_0000045 869.7 875.8 
James_Cosmo/k_bHmp_qtFQ_0000046 887.2 892.2 
