POI: 			Nana_Visitor 
Youtube ID: 	z_nenMkNu5o 
Video length: 	355.8 sec 
Set (V): 		dev 
 
Nana_Visitor/z_nenMkNu5o_0000001 13.9 18.3 
Nana_Visitor/z_nenMkNu5o_0000002 19.2 26.9 
Nana_Visitor/z_nenMkNu5o_0000003 27.1 34.2 
Nana_Visitor/z_nenMkNu5o_0000004 44.2 53.0 
Nana_Visitor/z_nenMkNu5o_0000005 54.0 62.1 
Nana_Visitor/z_nenMkNu5o_0000006 62.4 66.7 
Nana_Visitor/z_nenMkNu5o_0000007 72.2 84.8 
Nana_Visitor/z_nenMkNu5o_0000008 109.8 120.7 
Nana_Visitor/z_nenMkNu5o_0000009 121.0 127.7 
Nana_Visitor/z_nenMkNu5o_0000010 145.8 159.4 
Nana_Visitor/z_nenMkNu5o_0000011 163.8 170.7 
Nana_Visitor/z_nenMkNu5o_0000012 171.8 176.0 
Nana_Visitor/z_nenMkNu5o_0000013 184.8 189.4 
Nana_Visitor/z_nenMkNu5o_0000014 195.8 204.5 
Nana_Visitor/z_nenMkNu5o_0000015 210.2 215.9 
Nana_Visitor/z_nenMkNu5o_0000016 218.0 234.0 
Nana_Visitor/z_nenMkNu5o_0000017 253.4 262.9 
Nana_Visitor/z_nenMkNu5o_0000018 263.4 272.7 
Nana_Visitor/z_nenMkNu5o_0000019 295.1 304.3 
Nana_Visitor/z_nenMkNu5o_0000020 311.8 320.0 
Nana_Visitor/z_nenMkNu5o_0000021 343.1 349.8 
