POI: 			Sarah_Wayne_Callies 
Youtube ID: 	wKozbkkc8UA 
Video length: 	304.6 sec 
Set (V): 		dev 
 
Sarah_Wayne_Callies/wKozbkkc8UA_0000001 04.9 17.1 
Sarah_Wayne_Callies/wKozbkkc8UA_0000002 21.3 27.9 
Sarah_Wayne_Callies/wKozbkkc8UA_0000003 38.6 49.2 
Sarah_Wayne_Callies/wKozbkkc8UA_0000004 51.5 67.7 
Sarah_Wayne_Callies/wKozbkkc8UA_0000005 81.3 96.4 
Sarah_Wayne_Callies/wKozbkkc8UA_0000006 108.4 120.4 
Sarah_Wayne_Callies/wKozbkkc8UA_0000007 121.6 137.2 
Sarah_Wayne_Callies/wKozbkkc8UA_0000008 151.8 158.9 
Sarah_Wayne_Callies/wKozbkkc8UA_0000009 166.8 176.6 
Sarah_Wayne_Callies/wKozbkkc8UA_0000010 181.8 193.2 
Sarah_Wayne_Callies/wKozbkkc8UA_0000011 199.6 207.0 
Sarah_Wayne_Callies/wKozbkkc8UA_0000012 210.2 224.8 
Sarah_Wayne_Callies/wKozbkkc8UA_0000013 231.4 240.0 
Sarah_Wayne_Callies/wKozbkkc8UA_0000014 241.0 250.5 
Sarah_Wayne_Callies/wKozbkkc8UA_0000015 270.0 288.3 
Sarah_Wayne_Callies/wKozbkkc8UA_0000016 290.6 298.6 
