POI: 			Rutger_Hauer 
Youtube ID: 	X0MHScwpSXM 
Video length: 	887.1 sec 
Set (V): 		dev 
 
Rutger_Hauer/X0MHScwpSXM_0000001 24.4 29.6 
Rutger_Hauer/X0MHScwpSXM_0000002 39.9 43.9 
Rutger_Hauer/X0MHScwpSXM_0000003 100.0 107.7 
Rutger_Hauer/X0MHScwpSXM_0000004 142.3 146.3 
Rutger_Hauer/X0MHScwpSXM_0000005 152.6 160.8 
Rutger_Hauer/X0MHScwpSXM_0000006 170.1 175.5 
Rutger_Hauer/X0MHScwpSXM_0000007 176.3 185.2 
Rutger_Hauer/X0MHScwpSXM_0000008 186.2 191.1 
Rutger_Hauer/X0MHScwpSXM_0000009 311.2 321.0 
Rutger_Hauer/X0MHScwpSXM_0000010 322.0 326.9 
Rutger_Hauer/X0MHScwpSXM_0000011 347.4 351.8 
Rutger_Hauer/X0MHScwpSXM_0000012 393.7 402.4 
Rutger_Hauer/X0MHScwpSXM_0000013 497.5 505.0 
Rutger_Hauer/X0MHScwpSXM_0000014 516.1 522.4 
Rutger_Hauer/X0MHScwpSXM_0000015 530.0 569.7 
Rutger_Hauer/X0MHScwpSXM_0000016 582.9 598.4 
Rutger_Hauer/X0MHScwpSXM_0000017 607.7 618.2 
Rutger_Hauer/X0MHScwpSXM_0000018 619.9 627.0 
Rutger_Hauer/X0MHScwpSXM_0000019 630.2 634.9 
Rutger_Hauer/X0MHScwpSXM_0000020 649.3 653.5 
Rutger_Hauer/X0MHScwpSXM_0000021 661.2 665.7 
Rutger_Hauer/X0MHScwpSXM_0000022 764.0 768.5 
Rutger_Hauer/X0MHScwpSXM_0000023 778.8 783.4 
Rutger_Hauer/X0MHScwpSXM_0000024 817.3 825.4 
Rutger_Hauer/X0MHScwpSXM_0000025 835.0 843.3 
Rutger_Hauer/X0MHScwpSXM_0000026 843.6 849.1 
Rutger_Hauer/X0MHScwpSXM_0000027 857.8 865.0 
